YEAR,SSP,cator,Sum_2015_standard_future_GHG_Before_AD,Sum_2015_standard_future_GHG_After_AD,PGER_2015_standard_future,Sum_new_standard_future_GHG_Before_AD,Sum_new_standard_future_GHG_After_AD,PGER_new_standard_future
2020,SSP1,0,0.212465395,0.110021679,-0.102443716,0.308468494,0.103418392,-0.205050101
2020,SSP1,1,11.77105549,3.852566759,-7.918488726,7.294749549,2.445667181,-4.849082368
2020,SSP1,2,27.69825253,11.90015593,-15.7980966,17.23705041,5.778963103,-11.45808731
2020,SSP1,3,5.543826495,1.700374168,-3.843452327,4.879760306,1.636008138,-3.243752167
2020,SSP2,0,0.211589008,0.109868145,-0.101720863,0.30786474,0.103215976,-0.204648765
2020,SSP2,1,11.33061374,3.614316844,-7.716296893,6.990012721,2.343499882,-4.646512839
2020,SSP2,2,26.63650947,11.51645435,-15.12005512,16.60756031,5.567917711,-11.0396426
2020,SSP2,3,4.890351572,1.490081974,-3.400269599,4.278151423,1.434310316,-2.843841107
2020,SSP3,0,0.214714287,0.110920515,-0.103793772,0.310951259,0.104250774,-0.206700485
2020,SSP3,1,10.06389409,3.272577837,-6.791316257,6.061921804,2.032344375,-4.02957743
2020,SSP3,2,27.7575024,11.94866657,-15.80883583,17.22125153,5.773666307,-11.44758523
2020,SSP3,3,4.550629328,1.381827938,-3.168801391,3.917810987,1.313501127,-2.60430986
2020,SSP4,0,0.214210429,0.110639636,-0.103570793,0.310105317,0.103967161,-0.206138157
2020,SSP4,1,11.56297231,3.694784969,-7.868187337,7.169573747,2.403700236,-4.765873511
2020,SSP4,2,27.65228732,11.90705489,-15.74523242,17.19069871,5.763423044,-11.42727567
2020,SSP4,3,5.015534847,1.531974807,-3.48356004,4.380092659,1.468487546,-2.911605113
2020,SSP5,0,0.216283507,0.111496306,-0.1047872,0.312416267,0.104741939,-0.207674328
2020,SSP5,1,9.299048468,2.975457584,-6.323590884,5.68356587,1.905495237,-3.778070633
2020,SSP5,2,27.61723077,11.94634467,-15.6708861,17.00325207,5.700578926,-11.30267314
2020,SSP5,3,3.968620697,1.25183865,-2.716782047,3.556680782,1.192427156,-2.364253625
2025,SSP1,0,0.230230011,0.118382419,-0.111847592,0.33206801,0.111330461,-0.220737548
2025,SSP1,1,14.18113858,4.717165141,-9.463973443,8.964360566,3.00542771,-5.958932856
2025,SSP1,2,29.30061338,12.55513846,-16.74547492,18.06608267,6.056907805,-12.00917487
2025,SSP1,3,6.396700944,1.962593795,-4.434107149,5.626667638,1.886419306,-3.740248332
2025,SSP2,0,0.233614095,0.120208867,-0.113405227,0.337044147,0.112998781,-0.224045366
2025,SSP2,1,13.8609276,4.531330837,-9.329596763,8.738294461,2.929635875,-5.808658586
2025,SSP2,2,29.90270724,12.82943911,-17.07326813,18.29740651,6.134462368,-12.16294414
2025,SSP2,3,6.152624407,1.869153823,-4.283470584,5.403272665,1.811523005,-3.59174966
2025,SSP3,0,0.244899275,0.12513512,-0.119764154,0.350556135,0.117528865,-0.23302727
2025,SSP3,1,13.51074107,4.52456654,-8.986174528,8.288119789,2.778708497,-5.509411292
2025,SSP3,2,31.15504159,13.34506341,-17.80997818,19.04700584,6.385776066,-12.66122978
2025,SSP3,3,6.345352974,1.923486283,-4.421866691,5.430708893,1.820721386,-3.609987507
2025,SSP4,0,0.243127746,0.124253043,-0.118874703,0.348138052,0.116718169,-0.231419884
2025,SSP4,1,13.66180077,4.471147793,-9.190652977,8.474014959,2.841032462,-5.632982496
2025,SSP4,2,30.65796459,13.13392264,-17.52404196,18.90232713,6.337270497,-12.56505663
2025,SSP4,3,6.349264252,1.941329686,-4.407934565,5.567914771,1.866721582,-3.701193188
2025,SSP5,0,0.247013016,0.126160147,-0.120852869,0.353531229,0.118526307,-0.235004922
2025,SSP5,1,12.77762106,4.250592701,-8.527028362,7.935368196,2.660443574,-5.274924622
2025,SSP5,2,31.28435895,13.48813791,-17.79622104,19.34107259,6.484366072,-12.85670652
2025,SSP5,3,5.773370966,1.7867911,-3.986579866,5.02599119,1.685034095,-3.340957095
2030,SSP1,0,0.314203175,0.169576813,-0.144626362,0.479433588,0.16073684,-0.318696748
2030,SSP1,1,14.97054141,4.976323652,-9.994217759,9.488988048,3.181316438,-6.307671611
2030,SSP1,2,30.23720851,12.95767679,-17.27953172,18.49040336,6.199167272,-12.29123609
2030,SSP1,3,7.221044502,2.263335348,-4.957709154,6.435901803,2.157726419,-4.278175385
2030,SSP2,0,0.276405004,0.145623422,-0.130781583,0.410532928,0.137636927,-0.272896001
2030,SSP2,1,15.22745986,5.101325886,-10.12613397,9.658914791,3.238286763,-6.420628028
2030,SSP2,2,30.9160769,13.20238529,-17.71369161,18.97137759,6.360420634,-12.61095696
2030,SSP2,3,7.352549001,2.303565037,-5.048983964,6.544762855,2.194223614,-4.35053924
2030,SSP3,0,0.318478515,0.168623892,-0.149854622,0.476965417,0.159909351,-0.317056066
