,level_0,index,Province,Sludge,WWP,Landfill_2015,Incineration_2015,Land_application_2015,Building_material_2015,Landfill_percent_2015,Incineration_percent_2015,Land_application_percent_2015,Building_material_percent_2015,Landfill_percent_2030,Incineration_percent_2030,Land_application_percent_2030,Building_material_percent_2030,other,Landfill_2017,Incineration_2017,Land_application_2017,Building_material_2017,Landfill_2017_GHG_Before_AD,Incineration_2017_GHG_Before_AD,Land_application_2017_GHG_Before_AD,Building_material_2017_GHG_Before_AD,Landfill_2017_GHG_After_AD,Incineration_2017_GHG_After_AD,Land_application_2017_GHG_After_AD,Building_material_2017_GHG_After_AD,Sum_2017_GHG_Before_AD,Sum_2017_GHG_After_AD,PGER_2017,,,,
20,20,0,Hainan,109273,135948,0.7,1.3,13.9,0,0.044025157,0.081761006,0.874213836,0,0.1,0.2,0.55,0.15,0.05,4810.761006,8934.27044,95527.96855,0,0.009583036,0.052265482,0.048623736,0,0.002732512,0.035737082,0.033530317,0,0.110472254,0.071999911,-0.038472343,0.4341054,0.057715909,0.403896121,0.104282569
5,5,0,Liaoning,1084649,65960,156.2,4.6,40.4,8.6,0.744518589,0.021925643,0.192564347,0.04099142,0.1,0.2,0.55,0.15,0.05,807541.3432,23781.62726,208864.7264,44461.30315,1.608622356,0.139122519,0.106312146,0.25965401,0.458683483,0.095126509,0.073311519,0.037436417,2.113711031,0.664557928,-1.449153103,,,,
1,1,0,Tianjin,110247,177677,42.9,5.8,12.1,22.7,0.513772455,0.069461078,0.14491018,0.271856287,0.1,0.2,0.55,0.15,0.05,56641.87186,7657.875449,15975.91257,29971.34012,0.112830609,0.044798571,0.00813174,0.175032626,0.032172583,0.030631502,0.005607545,0.025235868,0.340793546,0.093647499,-0.247146047,,,,
11,11,1,Anhui,176636,303802,72.3,53.3,41,14.7,0.398786542,0.293987865,0.226144512,0.081081081,0.1,0.2,0.55,0.15,0.05,70440.05957,51928.8406,39945.262,14321.83784,0.140316599,0.303783717,0.020332138,0.083639533,0.040009954,0.207715362,0.014020787,0.012058987,0.548071987,0.273805091,-0.274266897,0.396845726,0.203628929,0.187288709,0.212236636
21,21,1,Chongqing,155649,31260,47,4.4,7.4,46.2,0.447619048,0.041904762,0.07047619,0.44,0.1,0.2,0.55,0.15,0.05,69671.45714,6522.434286,10969.54857,68485.56,0.138785543,0.038156241,0.0055835,0.39995567,0.039573388,0.026089737,0.003850312,0.057664842,0.582480954,0.127178278,-0.455302676,,,,
12,12,1,Fujian,158830,153008,46.9,32.2,20.7,45.1,0.323671498,0.222222222,0.142857143,0.311249137,0.1,0.2,0.55,0.15,0.05,51408.74396,35295.55556,22690,49435.70048,0.102406218,0.206479,0.01154921,0.288704491,0.029200167,0.141182222,0.00796419,0.04162486,0.609138919,0.219971439,-0.38916748,,,,
19,19,1,Guangxi,117531,712678,18.4,1.4,35.8,10.6,0.277945619,0.021148036,0.540785498,0.160120846,0.1,0.2,0.55,0.15,0.05,32667.22659,2485.549849,63559.06042,18819.16314,0.065073115,0.014540467,0.032351562,0.109903913,0.018554985,0.009942199,0.02230923,0.015845735,0.221869056,0.06665215,-0.155216907,,,,
9,9,1,Jiangsu,756700,229526,106.5,417.2,27.8,89.4,0.16617257,0.650959588,0.043376502,0.13949134,0.1,0.2,0.55,0.15,0.05,125742.7836,492581.1203,32822.99891,105553.0972,0.250479625,2.881599554,0.016706906,0.616430088,0.071421901,1.970324481,0.011520873,0.088875708,3.765216173,2.142142963,-1.62307321,,,,
13,13,1,Jiangxi,85659,123006,64.2,3,2.8,8.5,0.817834395,0.038216561,0.03566879,0.108280255,0.1,0.2,0.55,0.15,0.05,70054.87643,3273.592357,3055.352866,9275.178344,0.139549314,0.019150515,0.001555175,0.054167042,0.03979117,0.013094369,0.001072429,0.0078097,0.214422045,0.061767668,-0.152654377,,,,
22,22,1,Sichuan,296731,112096,60.6,27.5,44.1,43,0.345890411,0.15696347,0.251712329,0.24543379,0.1,0.2,0.55,0.15,0.05,102636.4075,46575.92751,74690.85103,72827.81393,0.204451724,0.272469176,0.038017643,0.425314433,0.058297479,0.18630371,0.026216489,0.061321019,0.940252976,0.332138698,-0.608114279,,,,
