,PROVINCE,SSP,YEAR,GDP,POP,CCF,人均CCF,BA,LDP,UR,FCE_P,FCE,SLUDGE_PRED,Region,EPROVINCE,Unnamed: 0,SSP1_2060,SSP2_2060,SSP3_2060,SSP4_2060,SSP5_2060,SLUDGE_2017,PSSP1_2060,PSSP2_2060,PSSP3_2060,PSSP4_2060,PSSP5_2060,cator
0,安徽省,SSP1,2020,25098.665080000002,59553012,1304210963.0,60,2230.975467,36771.85322,58.80088903,8006.347021,2803.638621,546168.277,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
1,安徽省,SSP1,2021,26341.53474,59541502,1303958894.0,60,2283.182068,39286.51899,59.33568602,8124.404538,2870.30002,557120.3003,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
2,安徽省,SSP1,2022,27563.635580000002,59499476,1303038524.0,60,2331.8207629999997,41743.54592,59.81821475,8228.841386,2928.7700839999998,593128.8155,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
3,安徽省,SSP1,2023,28751.042660000003,59429980,1301516562.0,60,2376.95631,44118.42901,60.25279408,8320.905125,2979.568302,624149.5093,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
4,安徽省,SSP1,2024,29889.356330000002,59336071,1299459955.0,60,2418.68737,46390.03731,60.64354939,8401.810736,3023.265526,641267.9038,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
5,安徽省,SSP1,2025,30963.61848,59220808,1296935695.0,60,2457.139838,48541.23362,60.99438382,8472.717329000001,3060.461315,647642.1158,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
6,安徽省,SSP1,2026,31966.079530000003,59087341,1294012768.0,60,2492.460506,50559.1875,61.30896027,8534.712584,3091.770848,623084.7568,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
7,安徽省,SSP1,2027,32923.95676,58939338,1290771502.0,60,2524.811236,52435.39469,61.59069222,8588.803486,3117.834116,623983.6475,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
8,安徽省,SSP1,2028,33874.47309,58780611,1287295381.0,60,2554.3637670000003,54165.4455,61.84274155,8635.911995999999,3139.287119,640774.7858,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
9,安徽省,SSP1,2029,34856.59846,58614950,1283667405.0,60,2581.295206,55748.60303,62.06802176,8676.874437,3156.7458300000003,674075.9065,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
10,安徽省,SSP1,2030,35911.10692,58446193,1279971627.0,60,2605.784227,57187.2589,62.26920522,8712.443583,3170.804963,679407.0255,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
11,安徽省,SSP1,2031,37152.29785,58277561,1276278586.0,60,2628.007936,58486.33064,62.44873342,8743.292574,3181.998814,687485.32,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
12,安徽省,SSP1,2032,38499.81211,58109802,1272604664.0,60,2648.139386,59652.65531,62.608829099999994,8770.020016,3190.696985,776588.0525,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
13,安徽省,SSP1,2033,39940.18774,57943058,1268952970.0,60,2666.345657,60694.42012,62.75150966,8793.155734,3197.204055,729221.546,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
14,安徽省,SSP1,2034,41459.23698,57777462,1265326418.0,60,2682.786435,61620.65696,62.87860123,8813.166798999999,3201.793527,721821.3890000001,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
15,安徽省,SSP1,2035,43041.71507,57613166,1261728335.0,60,2697.6130399999997,62440.81525,62.99175289,8830.46356,3204.711494,717082.8518,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
16,安徽省,SSP1,2036,44687.50135,57450111,1258157431.0,60,2710.9678,63164.417120000006,63.09245072,8845.405478,3206.166081,723536.3803,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
17,安徽省,SSP1,2037,46375.5114,57287475,1254595703.0,60,2722.983737,63800.791970000006,63.18203147,8858.306657,3206.298685,722480.4073,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
18,安徽省,SSP1,2038,48100.46644,57124249,1251021053.0,60,2733.7844809999997,64358.88274,63.26169559,8869.440977,3205.2180489999996,721890.7440000001,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
19,安徽省,SSP1,2039,49858.07858,56959424,1247411386.0,60,2743.484382,64847.113620000004,63.33251962,8879.046814,3203.012997,718160.6443,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
20,安徽省,SSP1,2040,51645.36435,56791989,1243744559.0,60,2752.188752,65273.30847999999,63.39546772,8887.331311,3199.75451,719309.5768,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
21,安徽省,SSP1,2041,53450.94273,56620383,1239986388.0,60,2759.994223,65644.64932000001,63.45140248,8894.474232999999,3195.466801,718891.065,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
22,安徽省,SSP1,2042,55254.17657999999,56440826,1236054089.0,60,2766.989172,65967.66532,63.50109482,8900.631403,3190.034575,720379.6745,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
23,安徽省,SSP1,2043,57023.052560000004,56248975,1231852553.0,60,2773.254188,66248.24414,63.54523315,8905.937759,3183.297631,727530.8890000001,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
24,安徽省,SSP1,2044,58723.41251,56040479,1227286490.0,60,2778.8625739999998,66491.65883,63.5844317,8910.510051000001,3175.083837,731725.3713,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
25,安徽省,SSP1,2045,60319.247639999994,55810980,1222260462.0,60,2783.8808559999998,66702.6047,63.6192382,8914.44922,3165.210722,731890.8565,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
26,安徽省,SSP1,2046,61806.13856,55557030,1216698957.0,60,2788.369285,66885.24222,63.65014069,8917.842484,3153.538852,729943.2828,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
27,安徽省,SSP1,2047,63171.973079999996,55278614,1210601647.0,60,2792.382336,67043.24256,63.67757387,8920.765163,3140.116498,730211.2940000001,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
28,安徽省,SSP1,2048,64437.617770000004,54976642,1203988460.0,60,2795.969184,67179.83369,63.70192471,8923.282271,3125.038665,729620.574,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
29,安徽省,SSP1,2049,65625.09835,54651972,1196878187.0,60,2799.174156,67297.84522999999,63.72353757,8925.449903,3108.392348,729645.9995,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
30,安徽省,SSP1,2050,66757.21199,54305496,1189290362.0,60,2802.037159,67399.7512,63.74271872,8927.316445,3090.2619670000004,729826.5633,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
31,安徽省,SSP1,2051,67921.16185,53938725,1181258078.0,60,2804.594084,67487.70995,63.75974054,8928.923618,3070.763186,728705.6523,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
32,安徽省,SSP1,2052,69026.30769,53555826,1172872589.0,60,2806.877177,67563.60078,63.77484516,8930.307388,3050.159447,729021.2078,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
33,安徽省,SSP1,2053,70041.73267,53161629,1164239675.0,60,2808.9153850000002,67629.05744,63.78824774,8931.498753,3028.749075,729312.8890000001,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
34,安徽省,SSP1,2054,70935.99155,52760954,1155464893.0,60,2810.734671,67685.49815,63.80013947,8932.524425,3006.8272690000003,727818.8118,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
35,安徽省,SSP1,2055,71677.45505,52358633,1146654063.0,60,2812.358309,67734.15261,63.81069021,8933.407418,2984.6876079999997,716206.4925,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
36,安徽省,SSP1,2056,72283.42505,51958134,1137883135.0,60,2813.807147,67776.08594,63.82005079,8934.167556999999,2962.54383,718946.8448,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
37,安徽省,SSP1,2057,72750.66548,51557573,1129110849.0,60,2815.09985,67812.2199,63.82835518,8934.821918000001,2940.3025420000004,718348.4825,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
38,安徽省,SSP1,2058,73124.00631,51153740,1120266906.0,60,2816.253125,67843.35154,63.83572232,8935.385209,2917.792802,717403.7185,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
39,安徽省,SSP1,2059,73448.09199,50743354,1111279453.0,60,2817.281911,67870.1697,63.84225781,8935.870094,2894.837926,717515.762,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
40,安徽省,SSP1,2060,73767.14781000001,50323127,1102076481.0,60,2818.1995699999998,67893.26928,63.84805539,8936.287481,2871.259373,729320.0985,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
41,安徽省,SSP1,2061,74144.68251,49890692,1092606155.0,60,2819.018044,67913.16387,63.85319827,8936.646761,2846.929907,730363.3755,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
42,安徽省,SSP1,2062,74551.62517,49447548,1082901301.0,60,2819.748005,67930.29664,63.85776028,8936.956019,2821.941872,731179.3513,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
43,安徽省,SSP1,2063,74978.81224,48996158,1073015860.0,60,2820.398987,67945.04987999999,63.86180697,8937.222217,2796.441803,731405.191,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
44,安徽省,SSP1,2064,75417.2793,48539050,1063005195.0,60,2820.979503,67957.75323999999,63.86539649,8937.451348,2770.579239,736843.1818,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
45,安徽省,SSP1,2065,75858.10768,48078732,1052924231.0,60,2821.4971570000002,67968.69093,63.86858045,8937.648573,2744.5019460000003,747248.9278,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
46,安徽省,SSP1,2066,76305.29029,47617651,1042826557.0,60,2821.958736,67978.1079,63.87140463,8937.818331999999,2718.353658,754822.8845,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
47,安徽省,SSP1,2067,76738.9265,47157724,1032754156.0,60,2822.3703,67986.21526,63.87390966,8937.964451,2692.247356,755574.973,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
48,安徽省,SSP1,2068,77151.9761,46700771,1022746885.0,60,2822.737255,67993.19487,63.87613159,8938.09022,2666.290047,821902.5018,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
49,安徽省,SSP1,2069,77537.34971000001,46248626,1012844909.0,60,2823.064427,67999.20343,63.878102399999996,8938.198473999999,2640.589154,824383.7409999999,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
50,安徽省,SSP1,2070,77887.84487,45803179,1003089620.0,60,2823.35612,68004.37589,63.87985044,8938.291651000001,2615.254955,824456.7373,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
51,安徽省,SSP1,2071,78294.602,45365740,993509706.0,60,2823.616177,68008.8285,63.881400899999996,8938.37185,2590.364317,824591.2735,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
52,安徽省,SSP1,2072,78700.97489,44935266,984082325.4,60,2823.848023,68012.66137,63.88277610000001,8938.44088,2565.859487,846822.3028,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
53,安徽省,SSP1,2073,79143.9095,44510105,974771299.5,60,2824.0547149999998,68015.96068999999,63.88399584,8938.500295,2541.647688,846669.9435,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
54,安徽省,SSP1,2074,79661.39242999999,44088588,965540077.2,60,2824.2389789999997,68018.8007,63.88507769,8938.551435,2517.634962,847287.6268,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
55,安徽省,SSP1,2075,80291.93041,43669018,956351494.2,60,2824.4032460000003,68021.24531,63.88603724,8938.595452,2493.72557,847506.7723,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
56,安徽省,SSP1,2076,81074.07603,43249563,947165429.7,60,2824.549684,68023.34954,63.88688831,8938.633338,2469.815901,862547.8488,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
57,安徽省,SSP1,2077,81967.15654,42827703,937926695.7,60,2824.680226,68025.16077999999,63.88764315,8938.665947,2445.762921,863424.3283,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
58,安徽省,SSP1,2078,82930.35047,42400823,928578023.7,60,2824.796598,68026.7198,63.88831266,8938.694014,2421.41805,866642.2009999999,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
59,安徽省,SSP1,2079,83923.71879,41966277,919061466.3,60,2824.9003350000003,68028.06172,63.88890646,8938.718170999999,2396.6308329999997,866988.583,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
60,安徽省,SSP1,2080,84908.61587000001,41521486,909320543.4,60,2824.99281,68029.21677,63.88943313,8938.738964,2371.254552,866956.5909999999,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
61,安徽省,SSP1,2081,85715.28676,41065021,899323959.9,60,2825.075244,68030.21096,63.88990026,8938.756861,2345.208091,869724.2503,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
62,安徽省,SSP1,2082,86486.27592999999,40599882,889137415.8,60,2825.1487260000004,68031.06667999999,63.89031456,8938.772265000001,2318.6632059999997,870674.2220000001,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
63,安徽省,SSP1,2083,87238.94655,40130159,878850482.1,60,2825.21423,68031.80322999999,63.89068202,8938.785523,2291.853861,870712.9218,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
64,安徽省,SSP1,2084,87989.69913,39659862,868550977.8,60,2825.2726199999997,68032.4372,63.89100793,8938.796934,2265.0094050000002,871676.8028,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
65,安徽省,SSP1,2085,88754.04051,39192928,858325123.2,60,2825.3246679999997,68032.98287,63.891296999999994,8938.806756,2238.354982,872325.1733,Central region,Anhui,0,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.9688638329999995,1
