,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT
0,SSP1,2020,882515.890892,1382637628,746497.771298,61064.05190319998,82958257680,1860,52950953.45460001,22149970773.52,34702356587652.0,18736097546.299995,1532626187.1569998,13673814.228500003,14336526.481933594
1,SSP1,2021,939195.444118,1385082194,780678.1661750001,62577.044198100004,83104931640,1860,56351726.64413999,23572551897.679996,34763731938632.0,19593979828.43,1570600274.006,14165591.019500004,14430687.049804688
2,SSP1,2022,996707.742255,1386948866,813289.4808889999,64002.3328504,83216931960,1860,59802464.53494001,25016033804.429996,34810575533017.0,20412480293.79,1606373116.5710003,14505762.314999996,14531251.467773438
3,SSP1,2023,1054809.9962880001,1388313538,844181.198859,65339.65656449999,83298812280,1860,63288599.77818,26474322821.050003,34844795222741.0,21187821177.829998,1639938156.4649997,14823035.512500001,14638132.604003906
4,SSP1,2024,1113274.579391,1389250990,873241.9210959999,66589.69470729998,83355059400,1860,66796474.76242001,27941705809.88,34868340490045.0,21917206511.370003,1671312445.1620004,15048324.575000001,14751239.939453125
5,SSP1,2025,1171888.524315,1389836837,900398.3261650001,67753.95115819998,83390210220,1860,70313311.45928,29412837583.429996,34883058148506.0,22598796027.559998,1700533727.8740003,15104217.623,14870479.581542969
6,SSP1,2026,1230427.209753,1390136151,925612.9813140001,68834.6333801,83408169060,1860,73825632.58079998,30882080443.529995,34890554060793.0,23231650212.779995,1727657409.146,15238384.074500002,14995754.249023438
7,SSP1,2027,1288703.7427809997,1390173929,948881.2694149999,69834.53137740001,83410435740,1860,77322224.56204002,32344743627.599995,34891509640322.0,23815653181.25,1752753513.9640002,15380652.605999995,15126963.282226562
8,SSP1,2028,1346543.3142219996,1389964699,970227.6855440001,70756.90039270002,83397881940,1860,80792598.84837998,33796439660.289997,34886266276834.0,24351419731.04,1775903745.097,15542456.159499997,15264002.643066406
9,SSP1,2029,1403784.0365469998,1389523195,989701.7376260001,71605.35035390001,83371391700,1860,84227042.18739998,35233105377.920006,34875187217368.0,24840192441.68,1797198706.594,15713737.465999998,15406764.905273438
10,SSP1,2030,1460276.5304040005,1388864171,1007373.6583799999,72383.74417329999,83331850260,1860,87616591.81928003,36650991561.13,34858626755214.0,25283734062.430004,1816735352.35,15824619.082000002,15555139.265625
11,SSP1,2031,1519209.398381,1388003355,1023330.1058190002,73096.106365,83280201300,1860,91152563.89719999,38130127878.920006,34837029815077.0,25684219592.72,1834614692.3510003,15917426.825000003,15709011.537597656
