PROVINCE,YEAR,SLUDGE,GDP,POP,LDP,BA,CCF,WWP,CCF_P,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA
北京市,2006,889876,8117.78,15810000,7523,1254.23,886728197.4,129138,56.08654,455298.1927,65898352.13,1.28E+11,61070058.94,10181563.21
天津市,2006,89713,4462.74,10750000,11939,539.98,685934710,69076,63.80788,284757.9784,19916048.31,47974455000,53280652.86,2409790.345
河北省,2006,224955,11467.6,68980000,11359,1416.97,5181698273,121278,75.11885,861432.9243,131505849.8,7.91E+11,130260468.4,16249245.17
山西省,2006,72096,4878.61,33750000,4154,733.86,2631299175,58059,77.96442,380357.9991,23800835.53,1.65E+11,20265745.94,3580216.735
内蒙古自治区,2006,130914,4944.25,23970000,4779,830.09,1912897565,37954,79.80382,394570.037,24445608.06,1.19E+11,23628570.75,4104172.483
辽宁省,2006,306494,9304.52,42710000,10860,1859.59,3666553132,227590,85.84765,798771.1764,86574092.43,3.97E+11,101047087.2,17302592.35
吉林省,2006,45062,4275.12,27230000,5608,1013.19,2309134770,68529,84.80113,362535.0069,18276651.01,1.16E+11,23974872.96,4331508.833
黑龙江省,2006,93101,6211.8,38230000,6051,1467.17,2766209257,117022,72.35703,449467.399,38586459.24,2.37E+11,37587601.8,9113766.606
上海市,2006,574155,10572.24,18150000,7430,860.21,1354476602,221591,74.62681,788972.5458,111772258.6,1.92E+11,78551743.2,9094346.57
江苏省,2006,513955,21742.05,75500000,31215,2583,6748158290,252280,89.37958,1943295.297,472716738.2,1.64E+12,678678090.8,56159715.15
浙江省,2006,478452,15718.47,49800000,21217,1744.16,3851238678,177160,77.33411,1215573.888,247070299.1,7.83E+11,333498778,27415526.64
安徽省,2006,119809,6112.5,61100000,7301,1135.85,5088199038,127856,83.27658,509028.0953,37362656.25,3.73E+11,44627362.5,6942883.125
福建省,2006,85711,7583.85,35580000,6857,780.06,2977735742,105280,83.69128,634702.1138,57514780.82,2.70E+11,52002459.45,5915858.031
江西省,2006,39748,4820.53,43390000,4253,757.95,4392751966,108126,101.23881,488024.7208,23237509.48,2.09E+11,20501714.09,3653720.714
山东省,2006,486163,21900.19,93090000,29484,2895.05,7677741109,208574,82.47654,1806251.897,479618322,2.04E+12,645705202,63402145.06
河南省,2006,187003,12362.79,93920000,11606,1678.57,7763041189,138613,82.65589,1021857.41,152838576.6,1.16E+12,143482540.7,20751808.41
湖北省,2006,207474,7617.47,56930000,8827,1298.07,5026658830,208190,88.29543,672587.7892,58025849.2,4.34E+11,67239407.69,9888009.283
湖南省,2006,51124,7688.67,63420000,6638,1037,6110380013,177867,96.34784,740786.747,59115646.37,4.88E+11,51037391.46,7973150.79
广东省,2006,434731,26587.76,93040000,24758,3705.71,8570515438,525979,92.11646,2449170.331,706908981.8,2.47E+12,658259762.1,98526528.11
广西壮族自治区,2006,28566,4746.16,47190000,4297,738.32,3588254456,107962,76.03845,360890.6499,22526034.75,2.24E+11,20394249.52,3504184.851
海南省,2006,12199,1044.91,8360000,1921,196.52,704613989.2,19134,84.28397,88069.16309,1091836.908,8735447600,2007272.11,205345.7132
重庆市,2006,16674,3907.23,28080000,4897,631.35,2485026929,59692,88.49811,345782.4703,15266446.27,1.10E+11,19133705.31,2466829.661
四川省,2006,198894,8690.24,81690000,10086,1272.88,7347844768,120309,89.94791,781668.9254,75520271.26,7.10E+11,87649760.64,11061632.69
贵州省,2006,13381,2338.98,37570000,3045,404.65,2944533346,26602,78.37459,183316.5985,5470827.44,87875478600,7122194.1,946468.257
云南省,2006,42953,3988.14,44830000,3508,542.26,3682232194,49159,82.13768,327576.5671,15905260.66,1.79E+11,13990395.12,2162608.796
西藏自治区,2006,,290.76,2810000,310,78,291907155.5,7166,103.88155,30204.59948,84541.3776,817035600,90135.6,22679.28
陕西省,2006,71030,4743.61,37350000,3947,628.56,2791304442,45472,74.73372,354507.6215,22501835.83,1.77E+11,18723028.67,2981643.502
甘肃省,2006,11631,2276.7,26060000,2586,523.82,2474406903,39026,94.95038,216173.5301,5183362.89,59330802000,5887546.2,1192580.994
青海省,2006,,648.5,5480000,678,109.45,462627628,10798,84.4211,54747.08335,420552.25,3553780000,439683,70978.325
宁夏回族自治区,2006,20108,725.9,6040000,1051,269.37,505062927.6,23906,83.61969,60699.53297,526930.81,4384436000,762920.9,195535.683
新疆维吾尔自治区,2006,66966,3045.26,20500000,3194,673.87,1832472040,35893,89.38888,272212.3807,9273608.468,62427830000,9726560.44,2052109.356
北京市,2007,228655,9846.81,16330000,8526,1289.32,916410206,129820,56.1182,552585.2529,96959667.18,1.61E+11,83953902.06,12695689.07
天津市,2007,92650,5252.76,11150000,12784,571.56,711295295,69273,63.7933,335090.8945,27591487.62,58568274000,67151283.84,3002267.506
河北省,2007,294126,13607.32,69430000,11911,1474,5140424319,121902,74.03751,1007452.091,185159157.6,9.45E+11,162076788.5,20057189.68
山西省,2007,144740,6024.45,33930000,4367,774.42,2583421378,62336,76.13974,458700.0566,36293997.8,2.04E+11,26308773.15,4665454.569
内蒙古自治区,2007,163577,6423.18,24050000,5619,886.68,1921825640,40096,79.90959,513273.6803,41257241.31,1.54E+11,36091848.42,5695305.242
辽宁省,2007,252287,11164.3,42980000,11655,1917.59,3629740513,228101,84.45185,942845.789,124641594.5,4.80E+11,130119916.5,21408550.04
吉林省,2007,50238,5284.69,27300000,5479,1051.45,2185031394,66270,80.03778,422974.8556,27927948.4,1.44E+11,28954816.51,5556587.301
黑龙江省,2007,44184,7104,38240000,6245,1525.83,2699861014,153784,70.60306,501564.1382,50466816,2.72E+11,44364480,10839496.32
上海市,2007,469585,12494.01,18580000,8120,885.67,1376652585,225200,74.09325,925721.8064,156100285.9,2.32E+11,101451361.2,11065569.84
江苏省,2007,601033,26018.48,76250000,34050,2713.92,6699870950,269487,87.86716,2286169.945,676961301.5,1.98E+12,885929244,70612073.24
浙江省,2007,396614,18753.73,50600000,22064,1851.14,3885193994,192773,76.78249,1439958.086,351702388.9,9.49E+11,413782298.7,34715779.75
安徽省,2007,191870,7360.92,61180000,8161,1201.64,4790559798,116987,78.30271,576379.9841,54183143.25,4.50E+11,60072468.12,8845175.909
福建省,2007,103209,9248.53,35810000,7091,819.35,2830656956,102825,79.04655,731064.3891,85535307.16,3.31E+11,65581326.23,7577783.056
江西省,2007,13324,5800.25,43680000,5156,800.67,4306408142,63792,98.58993,571846.2415,33642900.06,2.53E+11,29906089,4644086.168
山东省,2007,501167,25776.91,93670000,33052,3081.91,7410983060,206565,79.118,2039417.565,664449089.1,2.41E+12,851978429.3,79442116.7
河南省,2007,183558,15012.46,93600000,12398,1775.34,7542525744,131511,80.58254,1209742.158,225373955.3,1.41E+12,186124479.1,26652220.74
湖北省,2007,184944,9333.4,56990000,13445,1298.66,4904219740,202596,86.05404,803176.7769,87112355.56,5.32E+11,125487563,12120913.24
湖南省,2007,85708,9439.6,63550000,7610,1111.9,5939779552,154783,93.46624,882283.9191,89106048.16,6.00E+11,71835356,10495891.24
广东省,2007,788991,31777.01,94490000,30629,4083.97,8282143935,508153,87.65101,2785287.021,1009778365,3.00E+12,973298039.3,129776355.5
广西壮族自治区,2007,35596,5823.41,47680000,4692,813.89,3634387974,115268,76.22458,443886.9814,33912104.03,2.78E+11,27323439.72,4739615.165
海南省,2007,16477,1254.17,8450000,2175,203.9,729901705,19341,86.3789,108333.825,1572942.389,10597736500,2727819.75,255725.263
重庆市,2007,34279,4676.13,28160000,5241,667.45,2379578854,52379,84.50209,395142.7581,21866191.78,1.32E+11,24507597.33,3121082.969
四川省,2007,273121,10562.39,81270000,11780,1328.35,7040053572,122790,86.62549,914972.2093,111564082.5,8.58E+11,124424954.2,14030550.76
贵州省,2007,29812,2884.11,37620000,3089,395.8,2864104650,28314,76.1325,219574.5046,8318090.492,1.09E+11,8909015.79,1141530.738
云南省,2007,35516,4772.52,45140000,4097,578.43,3385202979,49791,74.99342,357907.5968,22776947.15,2.15E+11,19553014.44,2760568.744
西藏自治区,2007,,341.43,2840000,310,78.8,304255618.4,7203,107.13226,36578.16753,116574.4449,969661200,105843.3,26904.684
陕西省,2007,104912,5757.29,37480000,4303,653.34,2664862482,54494,71.10092,409348.6157,33146388.14,2.16E+11,24773618.87,3761467.849
甘肃省,2007,19293,2702.4,26170000,2653,553.09,2420690979,40673,92.4987,249968.4869,7302965.76,70721808000,7169467.2,1494670.416
青海省,2007,6836,797.35,5520000,730,110.65,444138040.8,9560,80.45979,64154.61356,635767.0225,4401372000,582065.5,88226.7775
宁夏回族自治区,2007,23662,919.11,6100000,1060,292.29,488091256,21961,80.01496,73542.54989,844763.1921,5606571000,974256.6,268646.6619
新疆维吾尔自治区,2007,44352,3523.16,20950000,3441,678.67,1853358720,42090,88.46581,311679.2032,12412656.39,73810202000,12123193.56,2391062.997
