YEAR,全国,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2002,25972.55,1043.5,453.99,1073.13,667.82,664.8,1660.35,810.1,1299.89,549.58,1939.22,1240.21,975.73,502.58,501.33,1914.51,1249.43,1418.74,897.63,2196.62,640.81,146.67,437.9,1201.41,320.45,353.77,71.97,477.64,475.08,98.94,168.01,520.74
2003,28308.02,1180.1,487.47,1171.04,678.68,679.28,1694.59,850.53,1362.5,549.58,2119.52,1397.02,1044.17,598.43,598.54,2195.39,1345.9,1415.58,959.38,2546.89,685.35,176.66,523.71,1357.37,348.05,410.5,72.43,508.28,478.33,101.84,206.13,564.78
2004,30406.19,1182.3,500.14,1248.39,674.95,699.3,1737.31,884.66,1417.55,781.04,2252.85,1508.53,1123.37,628.33,631.56,2395.58,1422.39,1432.13,1002.7,3306.11,709.67,164.25,514.28,1393.94,332.25,428.36,72.43,541.29,495.48,103.26,236.37,585.42
2005,32520.72,1200,530,1316.38,709.29,824.36,1779.94,942.87,1496.01,819.88,2378.6,1679.72,1260.35,672.64,663.57,2675.53,1571.98,1417.29,1032.93,3619.05,772.23,194.18,582.51,1442.93,371.86,472.37,74.8,561.65,507.44,105.92,248.94,595.5
2006,33659.76,1254.23,539.98,1416.97,733.86,830.09,1859.59,1013.19,1467.17,860.21,2583,1744.16,1135.85,780.06,757.95,2895.05,1678.57,1298.07,1037,3705.71,738.32,196.52,631.35,1272.88,404.65,542.26,78,628.56,523.82,109.45,269.37,673.87
2007,35469.65,1289.32,571.56,1474,774.42,886.68,1917.59,1051.45,1525.83,885.67,2713.92,1851.14,1201.64,819.35,800.67,3081.91,1775.34,1298.66,1111.9,4083.97,813.89,203.9,667.45,1328.35,395.8,578.43,78.8,653.34,553.09,110.65,292.29,678.67
2008,36295.3,1310.94,640.85,1528.33,784.1,885.42,1955.53,1135.36,1524.21,887.47,2904.32,1939.09,1310.88,877.35,819.09,3261.03,1857.24,1564.56,1195.25,4132.63,840.57,204.8,708.37,1391.68,407.42,623.76,79,659.74,581.28,110.65,310.89,750.96
2009,38107.26,1349.83,662.25,1577.52,822.93,975.48,2030.71,1193.33,1566.11,901.54,3046.37,2033.32,1377.67,918.64,856.9,3373.63,1913.26,1616.42,1238.54,4434.08,880.57,214.8,783.29,1509.51,460.31,666.57,81.3,685.62,604.44,112.39,321.11,800.36
2010,40058.01,1229.28,686.71,1619.67,864.73,1038.32,2220.53,1237.38,1637.98,998.75,3271.09,2128.96,1491.32,1059,933.78,3566.15,2014.4,1701.03,1321.05,4618.07,940.47,221.32,870.23,1629.73,463.96,751.34,84.88,758.48,632.8,113.88,343.79,838.21
2011,43603.23,1231.3,710.6,1684.6,956.92,1077.04,2276.51,1270.99,1678.64,998.75,3493.78,2221.1,1597.69,1129.96,1019.87,3751.2,2098.07,1811.57,1408,4829.26,1014.38,237.99,1034.92,1788.13,508.28,804.14,89.68,809.01,655.63,122.11,371.29,921.82
2012,45565.76,1261.11,722.14,1738.89,1013.84,1132.78,2329.08,1293.82,1725.45,998.75,3655.05,2296.33,1696.01,1203.14,1077.61,3926.97,2219.07,1889.61,1465.07,5026.44,1083.57,265.59,1051.71,1901.72,586.06,859.87,119.7,863.51,681.55,122.11,399.57,959.64
2013,47855.28,1306.45,747.26,1787.24,1040.69,1206.21,2386.49,1344.02,1758.38,998.75,3809.6,2399.24,1777.26,1263.18,1151.42,4187.48,2289.08,2006.71,1504.95,5232.11,1153.64,296.03,1114.92,2058.11,695.4,935.77,120.29,915.02,726.66,157.36,420.69,1064.87
2014,49772.63,1385.58,797.1,1833.17,1097.36,1184.81,2422.02,1362.79,1785.08,998.75,4019.83,2489.22,1835.15,1326.42,1201.26,4400.09,2374.67,2077.64,1540.21,5398.07,1192.82,303.06,1231.44,2216.56,723.76,977.04,126.34,967.56,779.28,165.84,441.31,1118.4
2015,52102.31,1401.01,885.43,1944.42,1123.46,1225.21,2461.95,1399.07,1772.24,998.75,4189.17,2590.74,1926.36,1413.54,1295.65,4609.32,2503.08,2197,1572.52,5633.19,1275.16,337.81,1329.45,2281.64,789.06,1060.14,144.52,1073.36,834.39,194.26,455.05,1185.36
2016,54331.47,1419.66,1007.91,2056.45,1157.63,1241.59,2798.2,1425.83,1810.17,998.75,4299.26,2673.33,2001.68,1469.16,1370.95,4795.47,2544.27,2248.94,1625.64,5808.12,1333.8,320.98,1350.66,2615.59,844.56,1131.34,145.18,1127.35,870.42,197.41,441.8,1199.37
2017,56225.38,1445.54,1087.57,2120.2,1178.32,1269.16,2643.8,1452.15,1819.7,998.75,4426.51,2829.27,2039.3,1516.88,1454.1,4971.47,2685.29,2340.79,1709.35,5911.05,1413.65,323.82,1423.09,2832.25,986.35,1142.13,147.56,1287.05,868.71,199.87,458.12,1243.58
2018,58455.66,1469.05,1077.83,2162.73,1180.11,1270.11,2669.71,1538.78,1824.96,1237.74,4558.45,2919.09,2109.88,1587.54,1546.31,5164.26,2797.32,2509.72,1837.14,6036.26,1475.97,379.54,1496.72,2982.32,1053.15,1163.97,163.67,1355.51,891.36,202.23,481.99,1312.24
2019,60312.45,1469.05,1151.05,2182.09,1222.75,1269.74,2720.06,1555.13,1770.89,1237.85,4648.33,3021.89,2241.5,1620.74,1607.8,5412.68,2944.3,2660.99,1855.94,6397.65,1542.78,382.89,1515.41,3054.31,1085.52,1217.6,164.42,1357.51,875.72,215.19,489.05,1209.56
