,YEAR,SSP,value
0,2002,SSP1,3341.9070912790276
1,2002,SSP2,3454.3905707524764
2,2002,SSP3,3494.3654146145736
3,2002,SSP4,3380.900095588346
4,2002,SSP5,3534.605988412137
5,2003,SSP1,3677.028709965341
6,2003,SSP2,3753.4595581093095
7,2003,SSP3,3781.203475698478
8,2003,SSP4,3703.3811999533004
9,2003,SSP5,3809.3757581864797
10,2004,SSP1,4023.2700091970914
11,2004,SSP2,4064.1633483491228
12,2004,SSP3,4079.817352308047
13,2004,SSP4,4037.0915626251776
14,2004,SSP5,4096.0708500580695
15,2005,SSP1,4376.719414539184
16,2005,SSP2,4384.38223011951
17,2005,SSP3,4388.612522346751
18,2005,SSP4,4378.811824336163
19,2005,SSP5,4393.570577129301
20,2006,SSP1,4733.058888993714
21,2006,SSP2,4711.65347333726
22,2006,SSP3,4705.693643449386
23,2006,SSP4,4724.936997744166
24,2006,SSP5,4700.4997637063925
25,2007,SSP1,5087.773048322508
26,2007,SSP2,5043.244896674057
27,2007,SSP3,5028.907576066003
28,2007,SSP4,5071.625541203002
29,2007,SSP5,5015.249616984764
30,2008,SSP1,5436.38618529367
31,2008,SSP2,5376.25222189347
32,2008,SSP3,5355.905303650399
33,2008,SSP4,5414.975829992497
34,2008,SSP5,5336.012583764062
35,2009,SSP1,5774.700143785041
36,2009,SSP2,5707.712609380456
37,2009,SSP3,5684.218999197076
38,2009,SSP4,5751.212505913063
39,2009,SSP5,5660.829809387375
40,2010,SSP1,6099.004780360571
41,2010,SSP2,6034.723982697354
42,2010,SSP3,6011.348289003164
43,2010,SSP4,6076.862747925136
44,2010,SSP5,5987.64828209098
45,2011,SSP1,6406.237533961529
46,2011,SSP2,6354.558699370443
47,2011,SSP3,6334.848396282032
48,2011,SSP4,6388.903876622698
49,2011,SSP5,6314.383519569723
50,2012,SSP1,6694.078077741196
51,2012,SSP2,6664.761108158497
52,2012,SSP3,6652.412638958734
53,2012,SSP4,6684.868601386264
54,2012,SSP5,6638.9829910748
55,2013,SSP1,6960.975390750547
56,2013,SSP2,6963.22127635903
57,2013,SSP3,6961.942746584589
58,2013,SSP4,6962.901312838734
59,2013,SSP5,6959.4855033351605
60,2014,SSP1,7206.114812243958
61,2014,SSP2,7248.220938593539
62,2014,SSP3,7261.602387974495
63,2014,SSP4,7221.766261796202
64,2014,SSP5,7274.072486829535
65,2015,SSP1,7429.339528577255
66,2015,SSP2,7518.451591919434
67,2015,SSP3,7549.851695796914
68,2015,SSP4,7460.814557044516
69,2015,SSP5,7581.1083257147775
70,2016,SSP1,7631.04371632195
71,2016,SSP2,7773.007848744488
72,2016,SSP3,7825.462921441096
73,2016,SSP4,7679.920642671705
74,2016,SSP5,7879.168313732778
75,2017,SSP1,7812.05375022917
76,2017,SSP2,8011.361200817427
77,2017,SSP3,8087.5192403942965
78,2017,SSP4,7879.400099390466
79,2017,SSP5,8167.054211725548
80,2018,SSP1,7973.510742641419
81,2018,SSP2,8233.32016604992
82,2018,SSP3,8335.399933202745
83,2018,SSP4,8059.919728177405
84,2018,SSP5,8443.798511646693
85,2019,SSP1,8116.763587180156
86,2019,SSP2,8438.982596453669
87,2019,SSP3,8568.75566714923
88,2019,SSP4,8222.408711406337
89,2019,SSP5,8708.659258642272
90,2020,SSP1,8243.277704709979
91,2020,SSP2,8628.685071943262
92,2020,SSP3,8787.4775232341
93,2020,SSP4,8367.976998164047
94,2020,SSP5,8961.107631241483
95,2021,SSP1,8354.561451568772
96,2021,SSP2,8802.953147459753
97,2021,SSP3,8991.66294629238
98,2021,SSP4,8497.844522395717
99,2021,SSP5,9200.810491917655
100,2022,SSP1,8452.109863373928
101,2022,SSP2,8962.455036974805
102,2022,SSP3,9181.581139401284
103,2022,SSP4,8613.282776212327
104,2022,SSP5,9427.609898314486
105,2023,SSP1,8537.364019166096
106,2023,SSP2,9107.960278121554
107,2023,SSP3,9357.639732738999
108,2023,SSP4,8715.568747375184
109,2023,SSP5,9641.501216597362
110,2024,SSP1,8611.683636582533
111,2024,SSP2,9240.304101125792
112,2024,SSP3,9520.353931561036
113,2024,SSP4,8805.9502640728
114,2024,SSP5,9842.61109184875
115,2025,SSP1,8676.330334161596
116,2025,SSP2,9360.357634555548
117,2025,SSP3,9670.318836476754
118,2025,SSP4,8885.621271530377
119,2025,SSP5,10031.176167049383
120,2026,SSP1,8732.459130462268
121,2026,SSP2,9469.003690373193
122,2026,SSP3,9808.185242848305
123,2026,SSP4,8955.705372168635
124,2026,SSP5,10207.523134825375
125,2027,SSP1,8781.116045157869
126,2027,SSP2,9567.117639622376
127,2027,SSP3,9934.638953911342
128,2027,SSP4,9017.245981715383
129,2027,SSP5,10372.05046574361
130,2028,SSP1,8823.240024667142
131,2028,SSP2,9655.552774965925
132,2028,SSP3,10050.383463366627
133,2028,SSP4,9071.201598290007
134,2028,SSP5,10525.211980406444
135,2029,SSP1,8859.667772699499
136,2029,SSP2,9735.129520467024
137,2029,SSP3,10156.125755198007
138,2029,SSP4,9118.444885508838
139,2029,SSP5,10667.502309774723
140,2030,SSP1,8891.140390942086
141,2030,SSP2,9806.627863907343
142,2030,SSP3,10252.564911284982
143,2030,SSP4,9159.764491560823
144,2030,SSP5,10799.444206807239
145,2031,SSP1,8918.311012380793
146,2031,SSP2,9870.782431780035
147,2031,SSP3,10340.383194976812
148,2031,SSP4,9195.868738441246
149,2031,SSP5,10921.5776212628
150,2032,SSP1,8941.752836242575
151,2032,SSP2,9928.279687504468
152,2032,SSP3,10420.239279232163
153,2032,SSP4,9227.390505609463
154,2032,SSP5,11034.450419126062
155,2033,SSP1,8961.96715238991
156,2033,SSP2,9979.756799851933
157,2033,SSP3,10492.763302694913
158,2033,SSP4,9254.892794678617
159,2033,SSP5,11138.610611735949
160,2034,SSP1,8979.391080262716
161,2034,SSP2,10025.801794999703
162,2034,SSP3,10558.553460292385
163,2034,SSP4,9278.874595611827
164,2034,SSP5,11234.599952557659
165,2035,SSP1,8994.404850154018
166,2035,SSP2,10066.954668413002
167,2035,SSP3,10618.173862619127
168,2035,SSP4,9299.776782239873
169,2035,SSP5,11322.9487584925
170,2036,SSP1,9007.338529538534
171,2036,SSP2,10103.709189894382
172,2036,SSP3,10672.153427835528
173,2036,SSP4,9317.987848962868
174,2036,SSP5,11404.171815628837
175,2037,SSP1,9018.478150423067
176,2037,SSP2,10136.515185723463
177,2037,SSP3,10720.985599295369
178,2037,SSP4,9333.849364902206
179,2037,SSP5,11478.765235089406
180,2038,SSP1,9028.07123038592
181,2038,SSP2,10165.781125622856
182,2038,SSP3,10765.128710467283
183,2038,SSP4,9347.661070096194
184,2038,SSP5,11547.204132250306
185,2039,SSP1,9036.331704293849
186,2039,SSP2,10191.87687954945
187,2039,SSP3,10805.00684520856
188,2039,SSP4,9359.685573813402
189,2039,SSP5,11609.94101147738
190,2040,SSP1,9043.444298933075
191,2040,SSP2,10215.136540502348
192,2040,SSP3,10841.011065663855
193,2040,SSP4,9370.152640475999
194,2040,SSP5,11667.404748176663
195,2041,SSP1,9049.568391521441
