,YEAR,SSP,value
0,2002,SSP1,45.52034915134312
1,2002,SSP2,45.80532730450998
2,2002,SSP3,45.947397922187065
3,2002,SSP4,45.65936918656467
4,2002,SSP5,46.094496040051816
5,2003,SSP1,47.07409454254618
6,2003,SSP2,47.2217601691596
7,2003,SSP3,47.299019647826846
8,2003,SSP4,47.14464111452553
9,2003,SSP5,47.38131213953789
10,2004,SSP1,48.57503579486748
11,2004,SSP2,48.60730717216034
12,2004,SSP3,48.62941350645931
13,2004,SSP4,48.588443713583345
14,2004,SSP5,48.65610378641523
15,2005,SSP1,50.01575528872185
16,2005,SSP2,49.956477457895545
17,2005,SSP3,49.933968044202466
18,2005,SSP4,49.98424901024124
19,2005,SSP5,49.915127169878176
20,2006,SSP1,51.390108169713294
21,2006,SSP2,51.264331521994016
22,2006,SSP3,51.208390501774986
23,2006,SSP4,51.32641053264566
24,2006,SSP5,51.15478691009549
25,2007,SSP1,52.69332190264387
26,2007,SSP2,52.52656146287697
27,2007,SSP3,52.44877297943004
28,2007,SSP4,52.61026264236759
29,2007,SSP5,52.37168580669383
30,2008,SSP1,53.92202920761383
31,2008,SSP2,53.739548665829396
32,2008,SSP3,53.65164690199313
33,2008,SSP4,53.83217653528673
34,2008,SSP5,53.56266975184731
35,2009,SSP1,55.074236915412214
36,2009,SSP2,54.90039692311562
37,2009,SSP3,54.81402364623038
38,2009,SSP4,54.98957185241333
39,2009,SSP5,54.72486609990582
40,2010,SSP1,56.14923925011478
41,2010,SSP2,56.00694079348593
42,2010,SSP3,55.93342012132392
43,2010,SSP4,56.080886899427405
44,2010,SSP5,55.85571417527766
45,2011,SSP1,57.14748820876567
46,2011,SSP2,57.05773073434496
47,2011,SSP3,57.00786910325238
48,2011,SSP4,57.1055137685638
49,2011,SSP5,56.95298709491833
50,2012,SSP1,58.07043558511354
51,2012,SSP2,58.05199797042834
52,2012,SSP3,58.03591508347316
53,2012,SSP4,58.06370673292172
54,2012,SSP5,58.014804619406796
55,2013,SSP1,58.92036091050084
56,2013,SSP2,58.98960304233692
57,2013,SSP3,59.016597189972785
58,2013,SSP4,58.95647302771101
59,2013,SSP5,59.03963726355028
60,2014,SSP1,59.700197716801355
61,2014,SSP2,59.870972453435996
62,2014,SSP3,59.94942130285829
63,2014,SSP4,59.785454724838864
64,2014,SSP5,60.02630234006192
65,2015,SSP1,60.41336777760107
66,2015,SSP2,60.69702784133431
67,2015,SSP3,60.83432379227616
68,2015,SSP4,60.55280919618129
69,2015,SSP5,60.97395294238255
70,2016,SSP1,61.06363000380743
71,2016,SSP2,61.46911173943092
72,2016,SSP3,61.67162937029213
73,2016,SSP4,61.26109403451928
74,2016,SSP5,61.882061080301604
75,2017,SSP1,61.65494792259426
76,2017,SSP2,62.18891339141032
77,2017,SSP3,62.46200541605786
78,2017,SSP4,61.9131605894358
79,2017,SSP5,62.750396268781195
