PROVINCE,SSP,YEAR,GDP,POP,CCF,人均CCF,BA,LDP,UR,FCE_P,FCE,SLUDGE_PRED,Region,EPROVINCE
安徽省,SSP1,2020,25098.66508,59553012,1304210963,60,2230.975467,36771.85322,58.80088903,8006.347021,2803.638621,546168.277,Central region,Anhui
安徽省,SSP1,2021,26341.53474,59541502,1303958894,60,2283.182068,39286.51899,59.33568602,8124.404538,2870.30002,557120.3003,Central region,Anhui
安徽省,SSP1,2022,27563.63558,59499476,1303038524,60,2331.820763,41743.54592,59.81821475,8228.841386,2928.770084,593128.8155,Central region,Anhui
安徽省,SSP1,2023,28751.04266,59429980,1301516562,60,2376.95631,44118.42901,60.25279408,8320.905125,2979.568302,624149.5093,Central region,Anhui
安徽省,SSP1,2024,29889.35633,59336071,1299459955,60,2418.68737,46390.03731,60.64354939,8401.810736,3023.265526,641267.9038,Central region,Anhui
安徽省,SSP1,2025,30963.61848,59220808,1296935695,60,2457.139838,48541.23362,60.99438382,8472.717329,3060.461315,647642.1158,Central region,Anhui
安徽省,SSP1,2026,31966.07953,59087341,1294012768,60,2492.460506,50559.1875,61.30896027,8534.712584,3091.770848,623084.7568,Central region,Anhui
安徽省,SSP1,2027,32923.95676,58939338,1290771502,60,2524.811236,52435.39469,61.59069222,8588.803486,3117.834116,623983.6475,Central region,Anhui
安徽省,SSP1,2028,33874.47309,58780611,1287295381,60,2554.363767,54165.4455,61.84274155,8635.911996,3139.287119,640774.7858,Central region,Anhui
安徽省,SSP1,2029,34856.59846,58614950,1283667405,60,2581.295206,55748.60303,62.06802176,8676.874437,3156.74583,674075.9065,Central region,Anhui
安徽省,SSP1,2030,35911.10692,58446193,1279971627,60,2605.784227,57187.2589,62.26920522,8712.443583,3170.804963,679407.0255,Central region,Anhui
安徽省,SSP1,2031,37152.29785,58277561,1276278586,60,2628.007936,58486.33064,62.44873342,8743.292574,3181.998814,687485.32,Central region,Anhui
安徽省,SSP1,2032,38499.81211,58109802,1272604664,60,2648.139386,59652.65531,62.6088291,8770.020016,3190.696985,776588.0525,Central region,Anhui
安徽省,SSP1,2033,39940.18774,57943058,1268952970,60,2666.345657,60694.42012,62.75150966,8793.155734,3197.204055,729221.546,Central region,Anhui
安徽省,SSP1,2034,41459.23698,57777462,1265326418,60,2682.786435,61620.65696,62.87860123,8813.166799,3201.793527,721821.389,Central region,Anhui
安徽省,SSP1,2035,43041.71507,57613166,1261728335,60,2697.61304,62440.81525,62.99175289,8830.46356,3204.711494,717082.8518,Central region,Anhui
安徽省,SSP1,2036,44687.50135,57450111,1258157431,60,2710.9678,63164.41712,63.09245072,8845.405478,3206.166081,723536.3803,Central region,Anhui
安徽省,SSP1,2037,46375.5114,57287475,1254595703,60,2722.983737,63800.79197,63.18203147,8858.306657,3206.298685,722480.4073,Central region,Anhui
安徽省,SSP1,2038,48100.46644,57124249,1251021053,60,2733.784481,64358.88274,63.26169559,8869.440977,3205.218049,721890.744,Central region,Anhui
