,PROVINCE,SSP,YEAR,GDP,POP,CCF,人均CCF,BA,LDP,UR,FCE_P,FCE,SLUDGE_PRED,Region,EPROVINCE,result-,result+,Sum_new_standard_future_GHG_After_AD,Sum_new_standard_future_GHG_After_AD-,Sum_new_standard_future_GHG_After_AD+
0,安徽省,SSP1,2020,23843.73183,56575361.4,1239000415,60,2119.426694,34933.26056,55.86084458,8006.347021,2663.45669,546168.277,Central region,Anhui,588609.3773,513864.0915,0.350913118,0.378181525,0.330157679
1,安徽省,SSP1,2021,25024.458,56564426.9,1238760949,60,2169.022965,37322.19304,56.36890172,8124.404538,2726.785019,557120.3003,Central region,Anhui,558233.636,548006.555,0.357949793,0.358665111,0.352094212
2,安徽省,SSP1,2022,26185.4538,56524502.2,1237886598,60,2215.229725,39656.36862,56.82730401,8228.841386,2782.33158,593128.8155,Central region,Anhui,558532.4563,585485.3935,0.381085264,0.358857103,0.376174365
3,安徽省,SSP1,2023,27313.49053,56458481,1236440734,60,2258.108495,41912.50756,57.24015438,8320.905125,2830.589887,624149.5093,Central region,Anhui,589171.5065,596060.5693,0.40101606,0.378542693,0.382968916
4,安徽省,SSP1,2024,28394.88851,56369267.45,1234486957,60,2297.753002,44070.53544,57.61137192,8401.810736,2872.10225,641267.9038,Central region,Anhui,617406.0748,612706.9303,0.412014628,0.396683403,0.393664203
5,安徽省,SSP1,2025,29415.43756,56259767.6,1232088910,60,2334.282846,46114.17194,57.94466463,8472.717329,2907.438249,647642.1158,Central region,Anhui,621653.2133,643440.316,0.416110059,0.39941219,0.413410403
6,安徽省,SSP1,2026,30367.77555,56132973.95,1229312130,60,2367.837481,48031.22812,58.24351226,8534.712584,2937.182306,623084.7568,Central region,Anhui,634586.7253,658873.028,0.400331956,0.407721971,0.42332592
7,安徽省,SSP1,2027,31277.75892,55992371.1,1226232927,60,2398.570674,49813.62496,58.51115761,8588.803486,2961.94241,623983.6475,Central region,Anhui,615469.0193,788285.5658,0.400909494,0.395438845,0.506473476
8,安徽省,SSP1,2028,32180.74944,55841580.45,1222930612,60,2426.645579,51457.17323,58.75060447,8635.911996,2982.322763,640774.7858,Central region,Anhui,612083.7263,778641.5493,0.4116978,0.393263794,0.500277195
9,安徽省,SSP1,2029,33113.76854,55684202.5,1219484035,60,2452.230446,52961.17288,58.96462067,8676.874437,2998.908539,674075.9065,Central region,Anhui,612057.7573,774941.8503,0.43309377,0.393247109,0.497900139
10,安徽省,SSP1,2030,34115.55157,55523883.35,1215973046,60,2475.495016,54327.89596,59.15574496,8712.443583,3012.264715,679407.0255,Central region,Anhui,621755.769,772051.1005,0.436519014,0.399478082,0.496042832
11,安徽省,SSP1,2031,35294.68296,55363682.95,1212464657,60,2496.607539,55562.01411,59.32629675,8743.292574,3022.898873,687485.32,Central region,Anhui,626813.92,772040.5115,0.441709318,0.402727944,0.496036029
12,安徽省,SSP1,2032,36574.8215,55204311.9,1208974431,60,2515.732417,56670.02254,59.47838764,8770.020016,3031.162136,776588.0525,Central region,Anhui,622639.8628,734823.9538,0.498957824,0.400046112,0.47212439
13,安徽省,SSP1,2033,37943.17835,55045905.1,1205505322,60,2533.028374,57659.69911,59.61393418,8793.155734,3037.343852,729221.546,Central region,Anhui,620001.4298,733355.4153,0.468524843,0.398350919,0.471180854
14,安徽省,SSP1,2034,39386.27513,54888588.9,1202060097,60,2548.647113,58539.62411,59.73467117,8813.166799,3041.703851,721821.389,Central region,Anhui,632172.4333,740926.4603,0.463770242,0.406170788,0.476045251
15,安徽省,SSP1,2035,40889.62932,54732507.7,1198641918,60,2562.732388,59318.77449,59.84216525,8830.46356,3044.475919,717082.8518,Central region,Anhui,608986.9583,739693.49,0.460725732,0.391274121,0.475253067
16,安徽省,SSP1,2036,42453.12628,54577605.45,1195249559,60,2575.41941,60006.19626,59.93782818,8845.405478,3045.857777,723536.3803,Central region,Anhui,633243.6973,741575.8938,0.464872124,0.406859075,0.476462512
17,安徽省,SSP1,2037,44056.73583,54423101.25,1191865918,60,2586.83455,60610.75237,60.0229299,8858.306657,3045.983751,722480.4073,Central region,Anhui,633858.1753,744891.2493,0.464193662,0.407253878,0.478592628
18,安徽省,SSP1,2038,45695.44312,54268036.55,1188470000,60,2597.095257,61140.9386,60.09861081,8869.440977,3044.957147,721890.744,Central region,Anhui,638362.6653,754731.4345,0.463814803,0.410148012,0.484914947
19,安徽省,SSP1,2039,47365.17465,54111452.8,1185040817,60,2606.310163,61604.75794,60.16589364,8879.046814,3042.862347,718160.6443,Central region,Anhui,638297.3103,754771.4918,0.461418214,0.410106022,0.484940683
20,安徽省,SSP1,2040,49063.09613,53952389.55,1181557331,60,2614.579314,62009.64306,60.22569433,8887.331311,3039.766785,719309.5768,Central region,Anhui,639551.0003,755019.4103,0.462156403,0.410911518,0.485099971
21,安徽省,SSP1,2041,50778.39559,53789363.85,1177987069,60,2621.994512,62362.41685,60.27883236,8894.474233,3035.693461,718891.065,Central region,Anhui,649509.149,756132.357,0.461887509,0.417309628,0.485815039
22,安徽省,SSP1,2042,52491.46775,53618784.7,1174251385,60,2628.639713,62669.28205,60.32604008,8900.631403,3030.532846,720379.6745,Central region,Anhui,649555.465,762994.7188,0.462843941,0.417339386,0.490224107
23,安徽省,SSP1,2043,54171.89993,53436526.25,1170259925,60,2634.591479,62935.83193,60.36797149,8905.937759,3024.132749,727530.889,Central region,Anhui,727853.7663,765059.8595,0.467438596,0.467646045,0.49155096
24,安徽省,SSP1,2044,55787.24188,53238455.05,1165922166,60,2639.919445,63167.07589,60.40521012,8910.510051,3016.329645,731725.3713,Central region,Anhui,727617.6473,771137.855,0.470133551,0.467494338,0.495456072
25,安徽省,SSP1,2045,57303.28526,53020431,1161147439,60,2644.686813,63367.47446,60.43827629,8914.44922,3006.950186,731890.8565,Central region,Anhui,726454.264,772126.757,0.470239875,0.466746865,0.496091441
26,安徽省,SSP1,2046,58715.83163,52779178.5,1155864009,60,2648.950821,63540.98011,60.46763366,8917.842484,2995.861909,729943.2828,Central region,Anhui,719697.074,773352.3473,0.468988559,0.46240537,0.496878883
27,安徽省,SSP1,2047,60013.37443,52514683.3,1150071565,60,2652.763219,63691.08043,60.49369518,8920.765163,2983.110673,730211.294,Central region,Anhui,719977.7343,774229.016,0.469160756,0.462585694,0.497442143
28,安徽省,SSP1,2048,61215.73688,52227809.9,1143789037,60,2656.170725,63820.84201,60.51682847,8923.282271,2968.786732,729620.574,Central region,Anhui,720395.4598,774415.415,0.468781219,0.462854083,0.497561904
29,安徽省,SSP1,2049,62343.84343,51919373.4,1137034278,60,2659.215448,63932.95297,60.53736069,8925.449903,2952.972731,729645.9995,Central region,Anhui,709057.7685,787239.9363,0.468797555,0.455569616,0.505801659
30,安徽省,SSP1,2050,63419.35139,51590221.2,1129825844,60,2661.935301,64029.76364,60.55558278,8927.316445,2935.748869,729826.5633,Central region,Anhui,709062.5545,787293.412,0.468913567,0.455572691,0.505836017
31,安徽省,SSP1,2051,64525.10376,51241788.75,1122195174,60,2664.36438,64113.32445,60.57175351,8928.923618,2917.225027,728705.6523,Central region,Anhui,709133.0908,786874.6223,0.468193382,0.455618011,0.505566945
32,安徽省,SSP1,2052,65574.99231,50878034.7,1114228960,60,2666.533318,64185.42074,60.5861029,8930.307388,2897.651475,729021.2078,Central region,Anhui,710282.7643,786959.6493,0.468396126,0.456356676,0.505621575
33,安徽省,SSP1,2053,66539.64604,50503547.55,1106027691,60,2668.469616,64247.60457,60.59883535,8931.498753,2877.311621,729312.889,Central region,Anhui,717134.624,786901.7795,0.468583531,0.460758996,0.505584393
34,安徽省,SSP1,2054,67389.19197,50122906.3,1097691648,60,2670.197937,64301.22324,60.6101325,8932.524425,2856.485906,727818.8118,Central region,Anhui,724444.5323,786649.649,0.467623587,0.465455612,0.505422399
35,安徽省,SSP1,2055,68093.5823,49740701.35,1089321360,60,2671.740394,64347.44498,60.6201557,8933.407418,2835.453228,716206.4925,Central region,Anhui,726424.2355,786755.7375,0.460162671,0.466727571,0.505490561
36,安徽省,SSP1,2056,68669.2538,49360227.3,1080988978,60,2673.11679,64387.28164,60.62904825,8934.167557,2814.416639,718946.8448,Central region,Anhui,726419.4875,784868.9518,0.461923348,0.466724521,0.504278301
37,安徽省,SSP1,2057,69113.13221,48979694.35,1072655307,60,2674.344857,64421.6089,60.63693742,8934.821918,2793.287415,718348.4825,Central region,Anhui,726661.5368,784526.5205,0.4615389,0.466880037,0.504058289
38,安徽省,SSP1,2058,69467.80599,48596053,1064253561,60,2675.440469,64451.18396,60.6439362,8935.385209,2771.903162,717403.7185,Central region,Anhui,729028.5533,784948.8635,0.460931889,0.468400845,0.504329645
39,安徽省,SSP1,2059,69775.68739,48206186.3,1055715480,60,2676.417815,64476.66121,60.65014492,8935.870094,2750.09603,717515.762,Central region,Anhui,739501.6338,785300.4608,0.461003877,0.4751298,0.504555546
40,安徽省,SSP1,2060,70078.79042,47806970.65,1046972657,60,2677.289591,64498.60582,60.65565262,8936.287481,2727.696404,729320.0985,Central region,Anhui,739474.8445,784152.913,0.468588163,0.475112588,0.503818247
