,PROVINCE,SSP,YEAR,GDP,POP,CCF,人均CCF,BA,LDP
0,安徽省,SSP1,2020,25098.66508,59553012,1304210963,60,2230.975467,36771.85322
1,安徽省,SSP1,2021,26341.53474,59541502,1303958894,60,2283.182068,39286.51899
2,安徽省,SSP1,2022,27563.63558,59499476,1303038524,60,2331.820763,41743.54592
3,安徽省,SSP1,2023,28751.04266,59429980,1301516562,60,2376.95631,44118.42901
4,安徽省,SSP1,2024,29889.35633,59336071,1299459955,60,2418.68737,46390.03731
5,安徽省,SSP1,2025,30963.61848,59220808,1296935695,60,2457.139838,48541.23362
6,安徽省,SSP1,2026,31966.07953,59087341,1294012768,60,2492.460506,50559.1875
7,安徽省,SSP1,2027,32923.95676,58939338,1290771502,60,2524.811236,52435.39469
8,安徽省,SSP1,2028,33874.47309,58780611,1287295381,60,2554.363767,54165.4455
9,安徽省,SSP1,2029,34856.59846,58614950,1283667405,60,2581.295206,55748.60303
10,安徽省,SSP1,2030,35911.10692,58446193,1279971627,60,2605.784227,57187.2589
11,安徽省,SSP1,2031,37152.29785,58277561,1276278586,60,2628.007936,58486.33064
12,安徽省,SSP1,2032,38499.81211,58109802,1272604664,60,2648.139386,59652.65531
13,安徽省,SSP1,2033,39940.18774,57943058,1268952970,60,2666.345657,60694.42012
14,安徽省,SSP1,2034,41459.23698,57777462,1265326418,60,2682.786435,61620.65696
15,安徽省,SSP1,2035,43041.71507,57613166,1261728335,60,2697.61304,62440.81525
16,安徽省,SSP1,2036,44687.50135,57450111,1258157431,60,2710.9678,63164.41712
17,安徽省,SSP1,2037,46375.5114,57287475,1254595703,60,2722.983737,63800.79197
18,安徽省,SSP1,2038,48100.46644,57124249,1251021053,60,2733.784481,64358.88274
19,安徽省,SSP1,2039,49858.07858,56959424,1247411386,60,2743.484382,64847.11362
20,安徽省,SSP1,2040,51645.36435,56791989,1243744559,60,2752.188752,65273.30848
21,安徽省,SSP1,2041,53450.94273,56620383,1239986388,60,2759.994223,65644.64932
22,安徽省,SSP1,2042,55254.17658,56440826,1236054089,60,2766.989172,65967.66532
23,安徽省,SSP1,2043,57023.05256,56248975,1231852553,60,2773.254188,66248.24414
