PROVINCE,CITY,YEAR,SLUDGE,GDP,POP,LDP,BA,PPI,CCF,WWP,CCF_P
北京市,北京,2006,889876,7870.2835,15810000,7523,1254.23,1.25,886728197.4,95284,56.08654
天津市,天津,2006,89713,4359.15,7779100,11939,539.98,2.71,496367879.3,41086,63.80788
河北省,石家庄,2006,84126,2026.632,5081300,2063,256.01,12.71,381701412.5,21440,75.11885
河北省,唐山,2006,83604,2362.141,4392100,2158,250.09,10.84,329929501.1,15054,75.11885
河北省,秦皇岛,2006,27057,552.0509,788700,1141,82.62,10.54,59246237,7682,75.11885
河北省,邯郸,2006,6098,1359.4576,2553600,1384,123,12.71,191823495.4,10806,75.11885
河北省,邢台,2006,1290,790.9297,1519000,712,74.36,16.93,114105533.2,4606,75.11885
河北省,保定,2006,7356,1199.955,3736300,1186,179.25,17.32,280666559.3,6614,75.11885
河北省,张家口,2006,0,484.1665,877000,530,76.82,16.37,65879231.45,3820,75.11885
河北省,承德,2006,0,427.9969,469000,285,77.27,17.74,35230740.65,0,75.11885
河北省,沧州,2006,2197,1281.6666,3047600,755,132.94,11.52,228932207.3,3106,75.11885
河北省,廊坊,2006,13068,729.872,1842700,553,89.17,14.7,138421504.9,2369,75.11885
河北省,衡水,2006,159,546.9867,1389600,592,75.44,17.99,104385154,1672,75.11885
山西省,太原,2006,31227,1013.6482,3702400,1179,212.8,1.92,288655468.6,16392,77.96442
山西省,大同,2006,12074,405.9573,1490500,324,91.2,5.94,116205968,4650,77.96442
山西省,阳泉,2006,14040,237.4387,664200,209,43.05,1.67,51783967.76,2136,77.96442
山西省,长治,2006,1860,460.3998,903000,281,52.5,6.29,70401871.26,4103,77.96442
山西省,晋城,2006,3600,364.4086,2025000,303,39.5,4.43,157877950.5,1688,77.96442
山西省,朔州,2006,1952,234.1263,589400,324,29.44,9.03,45952229.15,513,77.96442
山西省,晋中,2006,343,385.6794,927300,397,54.5,9.18,72296406.67,1460,77.96442
山西省,运城,2006,0,550.2093,1330000,490,72.6,10.91,103692678.6,1834,77.96442
山西省,忻州,2006,0,194.4549,975400,144,29.27,11.39,76046495.27,61,77.96442
山西省,临汾,2006,7000,588.7387,1304000,188,71.7,5.77,101665603.7,2145,77.96442
山西省,吕梁,2006,0,405.7513,1106800,315,37.3,4.86,86291020.06,0,77.96442
内蒙古自治区,呼和浩特,2006,0,900.0845,1115100,809,150,5.79,88989239.68,3500,79.80382
内蒙古自治区,包头,2006,12211,1010.1178,2459200,1279,178.12,3.48,196253554.1,6820,79.80382
内蒙古自治区,乌海,2006,10800,152.3965,427000,204,37.51,1.34,34076231.14,1350,79.80382
内蒙古自治区,赤峰,2006,480,428.0089,1128400,286,72,23.1,90050630.49,1100,79.80382
内蒙古自治区,通辽,2006,92184,413.0283,516200,639,47.3,23.68,41194731.88,2650,79.80382
