PROVINCE,CITY,YEAR,SLUDGE,GDP,POP,LDP,BA,CCF,WWP,CCF_P,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA
全国,全国,2018,11758781.26,772062.5605,1384421573,683484.75,58455.66,98949502457,5211248.73,71.47353406,7.63952E+16,5.96081E+11,1.06886E+15,5.27693E+11,45131426535
北京市,北京市,2018,1724892.44,22309.34548,21365017,17646.01,1469.05,1275445077,193202,59.69782647,1331819.435,17224210394,1.65E+13,13623823663,1134198505
天津市,天津市,2018,124451.96,15801.48192,12559198,21369.29,1077.83,974111491.6,104090.47,77.5616,1225588.22,12199732591,9.70E+12,16498428753,832152189.6
河北省,河北省,2018,514386.65,31065.72761,77128852,20655.24,2162.73,5355395561,175787.42,69.4344,2157030.157,23984685202,5.95E+13,15947137482,1669762861
山西省,山西省,2018,196051.79,12434.90905,36404478,8395.94,1180.11,2432783849,82696.95,66.8265,830981.4496,9600527721,2.81E+13,6482190934,911118748.3
内蒙古自治区,内蒙古自治区,2018,257803.69,19072.73707,25239855,14001.83,1270.11,1983365474,66703.39,78.5807,1498749.03,14725346218,1.95E+13,10810288721,980604378.7
辽宁省,辽宁省,2018,566636.59,28568.18734,43486819,21617.07,2669.71,3162661537,269394.97,72.7269,2077675.704,22056427867,3.36E+13,16689730415,2061183138
吉林省,吉林省,2018,174774.62,13973.00209,27484008,11601.3,1538.78,1959661990,117669.66,71.3019,996301.5977,10788031771,2.12E+13,8956929383,1188034427
黑龙江省,黑龙江省,2018,129461.47,14645.62959,38091824,12278.4,1824.96,2927809967,113830.56,76.8619,1125690.917,11307342281,2.94E+13,9479692943,1408983290
上海市,上海市,2018,349370.14,28708.17454,24917935,21974.66,1237.74,1747554585,229842.45,70.1324,2013373.18,22164506743,1.92E+13,16965812266,955612713.6
江苏省,江苏省,2018,1065505.23,94317.76274,82323849,80648.74,4558.45,5853752537,437033.09,71.1064,6706596.564,72819213402,6.36E+13,62265872706,3519408579
浙江省,浙江省,2018,845095.18,50410.539,58428037,48525.08,2919.09,4477737786,321884.62,76.6368,3863302.395,38920089817,4.51E+13,37464397513,2253720100
安徽省,安徽省,2018,183800.42,22558.30222,59879376,30977.72,2109.88,4564970097,171689.45,76.2361,1719756.984,17416420573,4.62E+13,23916737822,1628959355
福建省,福建省,2018,178549.98,25020.17765,38737485,16759.56,1587.54,2846124372,128366.01,73.4721,1838284.994,19317142421,2.99E+13,12939428806,1225680197
江西省,江西省,2018,107285.54,18152.59046,46050250,17331.43,1546.31,3502185983,99677.96,76.0514,1380529.918,14014935470,3.56E+13,13380948223,1193848058
