,0
0,上海市
1,16222.861492000002
2,17246.690534999998
3,17821.334094
4,18912.519454999998
5,20388.870293
6,22143.594756
7,23894.410997
8,25180.658223
9,27865.712568000003
10,29951.09415
11,31770.66262
12,33237.58178
13,34461.93539
14,35597.63499
15,36796.184779999996
16,38206.60103
17,39923.73331
18,41840.15536999999
19,43794.73966000001
20,45624.54863
21,47163.33294
22,48446.23175
23,49387.185540000006
24,50099.04087
25,50699.45831
26,51310.88378999999
27,52018.99158
28,52835.34079
29,53729.66893
30,54670.74239
31,55626.18056
32,56529.9688
33,57377.07604000001
34,58131.345
35,58756.73275
36,59217.77183
37,59506.698130000004
38,59679.39435
39,59816.84287
40,59998.6799
41,60303.908670000004
42,60841.84075
43,61540.031780000005
44,62352.258239999996
45,63230.964340000006
46,64126.184559999994
47,65034.32012999999
48,65911.21830000001
49,66764.97005
50,67604.16925
51,68437.83561
52,69301.84302
53,70173.71391
54,71060.43006
55,71968.72955
56,72905.07860000001
57,73877.80011
58,74871.96153
59,75877.42314
60,76884.26977
61,77882.72894
62,78956.59651
63,80045.11830999999
64,81170.74278
65,82355.48076
66,83620.72644
67,84994.13296
68,86438.94189
69,87928.09468
70,89435.46679
71,90935.98524
72,92292.41313
73,93617.10256
74,94909.68191
75,96168.73017
76,97392.04024
77,98597.97265000001
78,99747.97772
79,100828.88433
80,101827.95021000001
81,102732.9016
82,103566.61438999999
83,104349.59211999999
84,105141.58105000001
85,106004.71323000001
86,107003.65539
87,108227.23277999999
88,109726.15307
89,111575.09736
90,113853.35823000001
91,116645.84904
92,云南省
93,6827.275314500001
94,8388.51034613
95,9367.548640789997
96,10285.086997039996
97,11159.762589310008
98,12003.820388690001
99,12729.567631459995
100,13163.105371099999
101,14338.353335350006
102,15272.933362499994
103,16211.391709510002
104,17149.83106004
105,18072.886095999995
106,18959.654100030002
107,19789.882570479997
108,20543.638529329997
109,21204.92150409999
110,21782.157753910004
111,22288.635072940007
112,22738.63571061
113,23147.60046057
114,23606.542429029978
115,24046.80633421999
116,24471.28950699999
117,24883.28270419999
118,25286.4448491
119,25673.585502779995
120,26036.863652990003
121,26357.002932449992
122,26614.45847748
123,26789.56212834
124,26855.557740579992
125,26849.06968234
126,26800.800274130008
127,26741.978304080003
128,26703.973756440002
129,26714.757388899998
130,26769.446143150006
131,26859.12962176999
132,26974.67607570999
133,27106.999167819977
134,27270.2500243
135,27435.95469557
136,27597.222914480015
137,27746.981661819987
138,27877.911635930017
139,28000.637707280002
140,28096.473536150017
141,28166.37512776
142,28211.23364611999
143,28231.81713421
144,28240.695477120003
145,28230.981568160016
146,28209.42849252
147,28182.90784979
148,28158.41685462001
149,28143.96657030999
150,28138.958770590012
151,28144.40296539001
152,28161.008707749992
153,28189.216993009984
154,28260.37432575
155,28344.045777009993
156,28438.263569010003
157,28541.28476747998
158,28651.585616319997
159,28773.049631579994
160,28898.75147252
161,29027.391925189986
162,29157.246683879992
163,29286.158959039996
164,29375.021586229992
165,29462.748959579996
166,29551.62163781001
167,29644.33853475001
168,29744.054580570006
169,29860.31671246999
170,29983.82303732001
171,30112.535872840002
172,30244.396189770014
173,30377.35679911001
174,30517.305123140002
175,30659.91691015002
176,30809.802610379993
177,30971.89228028998
178,31151.469307469997
179,31360.402310079997
180,31598.95762834
181,31873.80506618001
182,32192.21522789
183,32562.15666166001
184,内蒙古自治区
185,10925.373628499992
186,12276.205266179997
187,12967.602203619994
188,13754.849901360014
189,14623.75378067
190,15565.864339840005
191,16450.066559740008
192,17035.462938489993
193,18645.126146910017
194,19994.05904028
195,21382.42878991003
196,22786.51828058001
197,24166.09967011999
198,25474.471868419987
199,26666.881527909994
200,27699.574211440013
201,28542.89562484998
202,29235.553832190006
203,29831.937085750033
204,30388.524215970032
205,30964.34780672001
206,31703.978823279995
207,32471.08697436998
208,33206.00911306
209,33847.33199785005
210,34331.81721712999
211,34602.99470700002
212,34698.29196742
213,34666.03178573998
214,34557.25357857003
215,34425.53988725998
216,34301.24841225999
217,34231.63727376001
218,34238.80377543
219,34344.35109348999
220,34569.11272292998
221,34923.54411249003
222,35354.39819513996
223,35799.081966980004
224,36196.00725858997
225,36484.22340640998
226,36651.36261729
227,36698.39603649998
228,36673.325460060005
229,36625.28720400998
230,36605.15411243996
231,36675.132139500034
232,36803.04362700004
233,36967.69082033002
234,37147.11700320999
235,37318.73585817998
236,37480.29008913002
237,37623.72775877
238,37764.04467367001
239,37916.469400340015
240,38096.45509635
241,38318.453739599936
242,38575.64645135002
243,38861.11155553998
244,39167.72452599002
245,39488.18150916996
246,39861.211074350016
247,40248.131213720015
248,40651.71248940009
249,41074.572277340005
250,41519.130629339954
251,41992.95156909001
252,42479.064846500005
253,42966.87441570997
254,43445.74072056995
255,43904.92038924001
256,44283.81824201001
257,44660.93924897997
258,45066.027065910035
259,45529.98046560996
260,46084.85840855003
261,46765.14946583001
262,47544.74733480003
263,48400.22469429001
264,49307.56485000005
265,50242.387555839974
266,51195.00502535003
267,52145.29448765004
268,53089.29980410997
269,54023.524221809974
270,54944.98829580998
271,55862.30624223006
272,56763.428336569916
273,57647.207547489976
274,58513.15645348997
275,59361.44871098005
276,北京市
277,13338.163822999999
278,15398.846199999998
279,16465.777002
280,17492.992425
281,18478.259835
282,19419.028024
283,20159.935534
284,20427.608872
285,21810.264968000003
286,22767.584575
287,23674.218894
288,24528.706329
289,25337.118456999997
290,26100.401005
291,26817.211004
292,27484.181340000003
293,28095.69341
294,28654.262397000002
295,29163.654515000002
296,29629.439576999997
297,30058.821949999998
298,30557.771824000003
299,31028.831423999996
300,31468.551637
301,31873.728967000003
302,32241.360023
303,32562.538033999997
304,32860.547911999995
305,33153.632391
306,33461.05539
307,33802.85367
308,34171.36565
309,34562.288323
310,34943.307788
311,35281.721449
312,35544.851501
313,35717.499891
314,35826.737988
315,35915.75886
316,36027.003427999996
317,36202.545406
318,36503.00324
319,36881.536609
320,37307.37029299999
321,37748.866015
322,38172.996923
323,38577.926073999995
324,38951.882397999994
325,39318.081642
326,39700.29487
327,40122.780064
328,40620.078646
329,41169.712875
330,41760.485695999996
331,42380.691574
332,43018.081766
333,43663.558703
334,44303.780626
335,44930.652628
336,45536.181018999996
337,46112.34102
338,46706.864387
339,47284.105403
340,47858.355599
341,48443.879984
342,49054.969853
343,49710.52772499999
344,50393.80290999999
345,51094.084876
346,51800.929761
347,52504.18945499999
348,53130.57288
349,53757.816661000004
350,54400.852092
351,55074.884775
352,55795.428212
353,56586.84592499999
354,57427.13255200001
355,58305.013612999996
356,59209.174701
357,60128.399498
358,61066.71541600001
359,62005.00255699999
360,62940.836706999995
361,63872.337868999995
362,64798.238219
363,65730.918949
364,66658.40936399999
365,67581.65830499999
366,68502.445328
367,69423.412511
368,吉林省
369,8191.373272759998
370,9659.19669689
371,10450.573882280001
372,11166.425177279998
373,11813.47221785
374,12395.12294862
375,12816.37463701
376,12909.706122760008
377,13681.661105959998
378,14161.30718267
379,14590.628460629998
380,14976.773521059997
381,15338.62451029
382,15692.714213959991
383,16053.246024960003
384,16432.693698539995
385,16839.229964789996
386,17274.09062152
387,17736.57440424
388,18227.145508610003
389,18747.09718281999
390,19356.233774480002
391,19972.331922139994
392,20566.35761317
393,21108.49260546
394,21568.099971109998
395,21919.77303687999
396,22200.136409779992
397,22453.582474379993
398,22726.24718911
399,23065.681669689995
400,23491.69157204
401,23988.96896448999
402,24513.189517400006
403,25019.277493240006
404,25461.967458780004
405,25811.673471929993
406,26081.799599380007
407,26301.020185070003
408,26497.93335082
409,26701.04623638
410,26954.126190559997
411,27228.00798854999
412,27506.73341067
413,27773.720673279997
414,28011.59898129998
415,28225.143050220013
416,28407.877419749988
417,28578.005796679987
418,28754.09711701
419,28955.019101759986
420,29203.89365917
421,29470.29434225999
422,29728.597243410004
423,29952.482764270007
424,30114.957713499993
425,30201.049399720003
426,30233.072164990004
427,30247.390597270012
428,30280.80130187001
429,30370.73643628
430,30578.842327809994
431,30858.97152617999
432,31184.11465752
433,31525.951252889994
434,31854.709224170005
435,32153.071385599997
436,32422.908297660004
437,32681.141782279992
438,32945.099491639994
439,33232.458800090004
440,33512.39421208001
441,33813.55602420001
442,34115.027353590005
443,34395.150097929996
444,34631.51127300001
445,34817.846048859996
446,34965.022811459996
447,35103.25471166001
448,35263.81911065
449,35478.95373526
450,35781.6651082
451,36155.7949082
452,36585.74131332
453,37055.75605417001
454,37550.01459809001
455,38060.17428285001
456,38563.33995167
457,39043.609786300025
458,39484.97127737001
459,39871.18128698002
460,四川省
461,16240.678586330005
462,19186.28009716
463,20964.467319960004
464,22762.84887361
465,24599.232676080006
466,26487.63813976
467,28225.007145900006
468,29410.325822329985
469,32348.165689740006
470,34839.637657039995
471,37418.984902760014
472,40063.605731470016
473,42733.69379208999
474,45381.59493234001
475,47964.00547986
476,50441.41473778
477,52779.64426239001
478,54975.72484862001
479,57029.80897815
480,58942.59700989002
481,60715.660237920005
482,62551.42129501001
483,64241.92756517001
484,65766.25502967
485,67103.61944479
486,68233.27707981002
487,69126.62927638002
488,69843.59834617002
489,70439.18982477003
490,70971.44753584007
491,71501.09436569003
492,72031.82865422996
493,72576.76281652003
494,73090.58164663997
495,73527.46283550994
496,73841.66260596999
497,74012.62389077997
498,74063.76683595998
499,74040.90826463005
500,73988.02159042997
501,73947.42365310004
502,74013.68038994995
503,74127.37621309001
504,74280.21604273998
505,74464.77072710001
506,74674.03271236
507,74944.30165711003
508,75211.81918649004
509,75459.45301974002
510,75669.34573532996
511,75822.91112979999
512,75938.90458622995
513,76007.46136142002
514,76061.48984505997
515,76134.50469095998
516,76260.61911291003
517,76470.53350865
518,76746.15617212001
519,77067.26679869003
520,77412.75189907999
521,77760.56948449
522,78181.24472948002
523,78604.43895820998
524,79045.67347835
525,79521.47435935999
526,80049.35207033002
527,80656.10896767997
528,81314.34910738004
529,82006.47862106997
530,82714.10873110997
531,83418.15486894999
532,83992.15934053
533,84522.87330198
534,84989.43053444005
535,85370.49204083
536,85644.59195901999
537,85825.63686858003
538,85945.70358537004
539,86078.31132401997
540,86299.31993612998
541,86686.71650548001
542,87317.24278749998
543,88135.55974117
544,89084.27884435997
545,90105.10133345996
546,91138.96481362
547,92144.27955019004
548,93043.34544596003
549,93774.52948687994
550,94274.75573801993
551,94478.89682855002
552,天津市
