,0
0,上海市
1,23019194
2,23239156
3,23470380
4,23709677
5,23953897
6,24199916
7,24444640
8,24684997
9,24917935
10,25140418
11,25349427
12,25542756
13,25721419
14,25887232
15,26042013
16,26187589
17,26325555
18,26456579
19,26581095
20,26699547
21,26812383
22,26920053
23,27023040
24,27121833
25,27216927
26,27308815
27,27397796
28,27483374
29,27564846
30,27641510
31,27712656
32,27777764
33,27837082
34,27891046
35,27940091
36,27984651
37,28024985
38,28060636
39,28090977
40,28115390
41,28133261
42,28144118
43,28148067
44,28145346
45,28136208
46,28120898
47,28099639
48,28072546
49,28039696
50,28001153
51,27956976
52,27907270
53,27852380
54,27792699
55,27728612
56,27660483
57,27588780
58,27514391
59,27438326
60,27361615
61,27285302
62,27210066
63,27135033
64,27058930
65,26980470
66,26898348
67,26811146
68,26717037
69,26614072
70,26500268
71,26373593
72,26233159
73,26082880
74,25927949
75,25773665
76,25625451
77,25488279
78,25364950
79,25257743
80,25168976
81,25101003
82,25055359
83,25030203
84,25022798
85,25030345
86,25049997
87,25078846
88,25113952
89,25152326
90,25190947
91,25226766
92,云南省
93,45966766
94,46077176
95,46242756
96,46454736
97,46704344
98,46982793
99,47281268
100,47590935
101,47902968
102,48208514
103,48498747
104,48766634
105,49012412
106,49238124
107,49445812
108,49637522
109,49815169
110,49980125
111,50133618
112,50276883
113,50411170
114,50537788
115,50658235
116,50774072
117,50886895
118,50998265
119,51109360
120,51219586
121,51327992
122,51433574
123,51535340
124,51632194
125,51722669
126,51805188
127,51878178
128,51940002
129,51989390
130,52026291
131,52051000
132,52063798
133,52065028
134,52055177
135,52035498
136,52007438
137,51972422
138,51931960
139,51887514
140,51840563
141,51792625
142,51745204
143,51699842
144,51658127
145,51621976
146,51593360
147,51574270
148,51566705
149,51571931
150,51588303
151,51613371
152,51644617
153,51679477
154,51715675
155,51752402
156,51789216
157,51825733
158,51861558
159,51896336
160,51929996
161,51962571
162,51994152
163,52024922
164,52055747
165,52089729
166,52130570
167,52181837
168,52247124
169,52328794
170,52424635
171,52531136
172,52644642
173,52761326
174,52877870
175,52993199
176,53106919
177,53218647
178,53328115
179,53435039
180,53539228
181,53640512
182,53738779
183,53833927
184,内蒙古自治区
185,24407563
186,24490011
187,24585127
188,24689618
189,24800262
190,24913825
191,25027093
192,25136818
193,25239855
194,25333010
195,25412990
196,25477444
197,25526870
198,25562595
199,25585967
200,25598312
201,25600773
202,25594229
203,25579436
204,25557082
205,25527890
206,25492588
207,25451655
208,25405622
209,25354950
210,25300068
211,25241352
212,25178357
213,25110679
214,25037635
215,24958818
216,24873760
217,24782436
218,24685030
219,24581657
220,24472463
221,24357516
222,24236787
223,24110095
224,23977276
225,23838169
226,23692674
227,23540831
228,23382776
229,23218570
230,23048294
231,22872179
232,22691045
233,22505938
234,22317839
235,22127713
236,21936594
237,21745453
238,21555299
239,21367119
240,21181979
241,21000778
242,20823620
243,20650603
244,20481595
245,20316723
246,20155899
247,19998752
248,19844791
249,19693467
250,19544371
251,19396899
252,19250197
253,19103329
254,18955313
255,18805186
256,18652317
257,18497912
258,18343513
259,18190891
260,18041695
261,17897641
262,17759977
263,17629961
264,17508774
265,17397706
266,17297483
267,17206714
268,17123428
269,17045618
270,16971140
271,16898050
272,16824123
273,16747284
274,16665354
275,16576120
276,北京市
277,19612368
278,19798661
279,20001995
280,20218520
281,20444390
282,20675782
283,20908880
284,21139884
285,21365017
286,21580508
287,21782606
288,21968433
289,22138596
290,22294591
291,22437896
292,22570001
293,22692297
294,22805739
295,22911167
296,23009438
297,23101405
298,23187893
299,23269628
300,23347298
301,23421600
302,23493230
303,23562721
304,23629937
305,23694571
306,23756317
307,23814859
308,23869912
309,23921287
310,23968816
311,24012327
312,24051643
313,24086624
314,24117288
315,24143711
316,24165965
317,24184134
318,24197929
319,24205575
320,24204888
321,24193683
322,24169749
323,24132352
324,24086751
325,24039738
326,23998186
327,23969045
328,23954153
329,23934474
330,23885415
331,23781958
332,23598595
333,23320787
334,22979715
335,22618695
336,22281890
337,22014323
338,21849463
339,21771494
340,21751750
341,21761037
342,21769603
343,21753071
344,21710260
345,21645921
346,21564895
347,21472110
348,21372015
349,21266878
350,21158418
351,21048382
352,20938535
353,20830907
354,20728474
355,20634516
356,20552385
357,20485506
358,20436429
359,20404075
360,20386394
361,20381287
362,20386629
363,20400240
364,20419919
365,20443419
366,20468488
367,20492828
368,吉林省
369,27452818
370,27452988
371,27459597
372,27469939
373,27481306
374,27491069
375,27496535
376,27495070
377,27484008
378,27460677
379,27422398
380,27367206
381,27296033
382,27210522
383,27112346
384,27003128
385,26884328
386,26756587
387,26620391
388,26476200
389,26324458
390,26165591
391,25999970
392,25827917
393,25649738
394,25465767
395,25276201
396,25080821
397,24879340
398,24671453
399,24456855
400,24235350
401,24007073
402,23772299
403,23531299
404,23284363
405,23031679
406,22773071
407,22508188
408,22236685
409,21958218
410,21672542
411,21380222
412,21081947
413,20778371
414,20470177
415,20157867
416,19841421
417,19520705
418,19195564
419,18865803
420,18531621
421,18194762
422,17857439
423,17521912
424,17190559
425,16865234
426,16545859
427,16231860
428,15922675
429,15617815
430,15316830
431,15019584
432,14725971
433,14435906
434,14149262
435,13865816
436,13584941
437,13305806
438,13027549
439,12749207
440,12469856
441,12189113
442,11906726
443,11622529
444,11336392
445,11048973
446,10763908
447,10485662
448,10218843
449,9968183
450,9737325
451,9524957
452,9328462
453,9145194
454,8972375
455,8807187
456,8646746
457,8488126
458,8328319
459,8164294
460,四川省
461,80420721
462,80236984
463,80114760
464,80042731
465,80009648
466,80004189
467,80014992
468,80030642
469,80039696
470,80030655
471,79991981
472,79914447
473,79798238
474,79645928
475,79460037
476,79243070
477,78997715
478,78727209
479,78434971
480,78124392
481,77798819
482,77461097
483,77111757
484,76750817
485,76378249
486,75994007
487,75598214
488,75191803
489,74775841
490,74351500
491,73919860
492,73481620
493,73035305
494,72578958
495,72110695
496,71628607
497,71131048
498,70617382
499,70087158
500,69539887
501,68975063
502,68392518
503,67793620
504,67180108
505,66553692
506,65915996
507,65268920
508,64615404
509,63958672
510,63301938
511,62648422
512,62001124
513,61362092
514,60733192
515,60116368
516,59513637
517,58925982
518,58349856
519,57780623
520,57213557
521,56643929
522,56068325
523,55488589
524,54907930
525,54329613
526,53756968
527,53192310
528,52633494
529,52077201
530,51519952
531,50958129
532,50388885
533,49813164
534,49232962
535,48650379
536,48067632
537,47487272
538,46912640
539,46347431
540,45795381
541,45260445
542,44745399
543,44248242
544,43765663
545,43294252
546,42830563
547,42371131
548,41912411
549,41450781
550,40982612
551,40504168
552,天津市
553,11768136
554,11851249
555,11943039
556,12041408
557,12144271
558,12249551
559,12355175
560,12459075
561,12559198
562,12653493
563,12739904
564,12816872
565,12884783
566,12944496
567,12996875
568,13042788
569,13083033
570,13118136
571,13148553
572,13174741
573,13197158
574,13216249
575,13232423
576,13246065
577,13257576
578,13267346
579,13275667
580,13282447
581,13287486
582,13290589
583,13291562
584,13290249
585,13286675
586,13280916
587,13273036
588,13263110
589,13251155
590,13236945
591,13220197
592,13200634
593,13177972
594,13151981
595,13122630
596,13089940
597,13053930
598,13014611
599,12972035
600,12926399
601,12877945
602,12826895
603,12773481
604,12717945
605,12660625
606,12601873
607,12542049
608,12481511
609,12420558
610,12359230
611,12297497
612,12235341
613,12172737
614,12109718
615,12046478
616,11983266
617,11920338
618,11857953
619,11796123
620,11733847
621,11669844
622,11602808
623,11531396
624,11454588
625,11372732
626,11286530
627,11196706
628,11103988
629,11009556
630,10916294
631,10827596
632,10746937
633,10677876
634,10623111
635,10581644
636,10551518
637,10530709
638,10517161
639,10508772
640,10503400
641,10498870
642,10492977
643,10483492
644,宁夏回族自治区
645,6618966
646,6650021
647,6689578
648,6736284
649,6788776
650,6845693
651,6905683
652,6967378
653,7029418
654,7090445
655,7149098
656,7204296
657,7256010
658,7304506
659,7350034
660,7392844
661,7433186
662,7471248
663,7507209
664,7541248
665,7573542
666,7604287
667,7633693
668,7661993
669,7689405
670,7716157
671,7742429
672,7768201
673,7793408
674,7817990
675,7841864
676,7864957
677,7887100
678,7908108
679,7927796
680,7945975
681,7962471
682,7977188
683,7990036
684,8000942
685,8009823
686,8016660
687,8021683
688,8025154
689,8027361
690,8028592
691,8029113
692,8029151
693,8028940
694,8028677
695,8028602
696,8028934
697,8029929
698,8031846
699,8034941
700,8039467
701,8045598
702,8053159
703,8061881
704,8071493
705,8081711
706,8092256
707,8102930
708,8113565
709,8123967
710,8133978
711,8143434
712,8152368
713,8160819
714,8168860
715,8176579
716,8184149
717,8192079
718,8200934
719,8211285
720,8223680
721,8238497
722,8255325
723,8273561
724,8292584
725,8311749
726,8330488
727,8348712
728,8366450
729,8383757
730,8400681
731,8417298
732,8433671
733,8449897
734,8466067
735,8482265
736,安徽省
737,58569086
738,58593154
739,58681310
740,58821508
741,59001684
742,59209722
743,59433470
744,59660747
745,59879376
746,60077132
747,60241812
748,60363868
749,60444546
750,60487774
751,60497495
752,60477626
753,60432282
754,60366295
755,60284706
756,60192517
757,60094760
758,59995980
759,59898881
760,59805728
761,59718762
762,59640262
763,59571822
764,59512557
765,59460921
766,59415373
767,59374401
768,59335853
769,59295183
770,59247215
771,59186736
772,59108542
773,59008393
774,58886001
775,58742080
776,58577367
777,58392553
778,58188959
779,57970323
780,57740959
781,57505229
782,57267488
783,57031540
784,56798884
785,56570398
786,56347017
787,56129653
788,55919488
789,55718800
790,55530183
791,55356251
792,55199662
793,55062187
794,54941890
795,54835871
796,54741176
797,54654780
798,54574056
799,54498212
800,54426916
801,54359851
802,54296697
803,54237221
804,54181385
805,54129265
806,54080975
807,54036710
808,53996859
809,53962152
810,53933392
811,53911247
812,53896297
813,53888999
814,53889638
815,53898483
816,53915709
817,53941498
818,53975828
819,54018162
820,54067877
821,54124363
822,54187074
823,54255457
824,54329029
825,54407314
826,54489855
827,54576237
828,山东省
829,95792722
830,95929193
831,96139923
832,96409521
833,96722645
834,97063913
835,97417949
836,97769364
837,98102777
838,98402768
839,98653896
840,98844303
841,98976539
842,99056739
843,99090997
844,99085441
845,99045869
846,98976857
847,98882687
848,98767611
849,98635876
850,98491169
851,98334923
852,98168001
853,97991251
854,97805542
855,97611307
856,97407562
857,97192947
858,96966110
859,96725685
860,96470446
861,96199599
862,95912523
863,95608586
864,95287163
865,94947644
866,94589309
867,94211412
868,93813195
869,93393852
870,92953190
871,92493432
872,92017404
873,91527918
874,91027757
875,90519574
876,90005447
877,89487307
878,88967083
879,88446679
880,87928309
881,87415355
882,86911545
883,86420684
884,85946652
885,85491929
886,85053194
887,84625603
888,84204272
889,83784224
890,83362129
891,82941295
892,82526828
893,82123951
894,81737950
895,81372022
896,81020390
897,80674933
898,80327375
899,79969305
900,79594699
901,79207868
902,78815710
903,78425285
904,78043709
905,77677045
906,77326645
907,76992660
908,76675220
909,76374423
910,76090306
911,75822674
912,75571321
913,75336069
914,75116812
915,74913430
916,74725868
917,74554094
918,74398060
919,74257786
920,山西省
921,35275759
922,35322619
923,35410127
924,35531440
925,35679711
926,35848051
927,36029569
928,36217347
929,36404478
930,36584028
931,36749077
932,36893926
933,37017836
934,37121327
935,37204874
936,37269010
937,37314387
938,37342316
939,37354266
940,37351685
941,37336043
942,37308813
943,37271426
944,37225351
945,37172036
946,37112939
947,37049211
948,36981015
949,36908218
950,36830714
951,36748381
952,36661050
953,36568512
954,36470518
955,36366804
956,36257136
957,36141215
958,36018508
959,35888451
960,35750430
961,35603855
962,35448257
963,35283808
964,35110775
965,34929452
966,34740116
967,34543248
968,34340288
969,34132913
970,33922803
971,33711642
972,33500963
973,33291668
974,33084521
975,32880299
976,32679802
977,32483546
978,32291080
979,32101654
980,31914545
981,31728991
982,31544221
983,31359213
984,31172894
985,30984168
986,30791927
987,30595178
988,30393477
989,30186475
990,29973836
991,29755146
992,29530491
993,29301965
994,29072234
995,28844029
996,28620122
997,28403036
998,28193755
999,27992919
1000,27801199
1001,27619260
1002,27447361
1003,27284077
1004,27127493
1005,26975719
1006,26826801
1007,26678762
1008,26529640
1009,26377413
1010,26220062
1011,26055543
1012,广东省
1013,104320457
1014,105236240
1015,106301018
1016,107490167
1017,108778994
1018,110142802
1019,111556881
1020,112996584
1021,114437288
1022,115854465
1023,117223654
1024,118525247
1025,119758834
1026,120928815
1027,122039634
1028,123095738
1029,124101506
1030,125060958
1031,125977978
1032,126856531
1033,127700610
1034,128514230
1035,129301539
1036,130066727
1037,130814010
1038,131547624
1039,132270961
1040,132983921
1041,133685498
1042,134374678
1043,135050424
1044,135711631
1045,136356908
1046,136984754
1047,137593615
1048,138181912
1049,138747855
1050,139289043
1051,139802976
1052,140287219
1053,140739410
1054,141157661
1055,141541832
1056,141892239
1057,142209242
1058,142493220
1059,142744779
1060,142965149
1061,143155724
1062,143317858
1063,143452884
1064,143562296
1065,143648437
1066,143713729
1067,143760550
1068,143791117
1069,143807503
1070,143811411
1071,143804409
1072,143788027
1073,143763798
1074,143732537
1075,143692438
1076,143641038
1077,143575932
1078,143494677
1079,143394279
1080,143269308
1081,143113818
1082,142921842
1083,142687426
1084,142407930
1085,142094362
1086,141761117
1087,141422720
1088,141093767
1089,140787780
1090,140513557
1091,140278796
1092,140091253
1093,139958780
1094,139886162
1095,139865763
1096,139886708
1097,139937969
1098,140008398
1099,140086724
1100,140161604
1101,140221578
1102,140255100
1103,140250621
1104,广西壮族自治区
1105,46023759
1106,46212491
1107,46460092
1108,46757111
1109,47094074
1110,47461465
1111,47849787
1112,48249517
1113,48651165
1114,49045174
1115,49422074
1116,49774566
1117,50104143
1118,50414512
1119,50709342
1120,50992387
1121,51267144
1122,51536372
1123,51802615
1124,52068446
1125,52336441
1126,52608879
1127,52886833
1128,53171042
1129,53462285
1130,53761335
1131,54068598
1132,54382828
1133,54702376
1134,55025557
1135,55350728
1136,55676418
1137,56002087
1138,56327360
1139,56651884
1140,56975247
1141,57297099
1142,57617259
1143,57935646
1144,58252228
1145,58567002
1146,58880248
1147,59193081
1148,59506913
1149,59823192
1150,60143432
1151,60469040
1152,60800840
1153,61139526
1154,61485836
1155,61840512
1156,62204507
1157,62579500
1158,62967307
1159,63369687
1160,63788349
1161,64224661
1162,64678782
1163,65150476
1164,65639474
1165,66145332
1166,66667365
1167,67203995
1168,67753463
1169,68314049
1170,68884023
1171,69461936
1172,70047405
1173,70640551
1174,71241700
1175,71851506
1176,72471264
1177,73103634
1178,73751368
1179,74416940
1180,75102424
1181,75809021
1182,76535433
1183,77279600
1184,78039190
1185,78811671
1186,79594543
1187,80386312
1188,81185892
1189,81992245
1190,82804400
1191,83621485
1192,84442695
1193,85267307
1194,86094684
1195,86924264
1196,新疆维吾尔自治区
1197,21826722
1198,22008535
