FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,省,市代码,市,类型
0,1,0,121.25,53.25,3919,3939,3956,3973,3988,4000,4012,4022,4030,4036,4042,4045,4046,4046,4045,4043,4040,4037,4032,4028,4022,4016,4008,4000,3992,3982,3972,3960,3948,3935,3922,3907,3891,3873,3856,3836,3816,3795,3773,3749,3726,3701,3675,3650,3621,3593,3563,3532,3498,3466,3431,3396,3360,3323,3287,3250,3213,3176,3140,3103,3068,3034,3001,2968,2935,2903,2870,2837,2803,2768,2730,2689,2647,2605,2563,2521,2482,2444,2408,2374,2343,2314,2287,2262,2238,2216,2193,2172,2151,2128,2105,150000,内蒙古自治区,150700,呼伦贝尔市,地级市
1,1,1,121.75,53.25,6322,6328,6330,6327,6320,6309,6294,6275,6254,6229,6202,6172,6139,6104,6066,6026,5983,5939,5894,5849,5805,5762,5720,5678,5636,5593,5547,5500,5451,5402,5349,5297,5243,5188,5131,5074,5015,4955,4893,4831,4767,4702,4637,4569,4502,4431,4360,4285,4210,4132,4052,3971,3888,3804,3720,3636,3552,3469,3388,3307,3227,3148,3070,2994,2919,2843,2769,2695,2620,2545,2468,2389,2308,2226,2144,2061,1979,1899,1820,1747,1678,1616,1560,1510,1461,1417,1375,1333,1291,1247,1202,230000,黑龙江省,232700,大兴安岭地区,地区
2,1,2,122.25,53.25,7755,7763,7764,7761,7752,7739,7720,7698,7671,7641,7607,7571,7530,7487,7441,7391,7339,7284,7230,7174,7120,7068,7016,6965,6913,6860,6805,6746,6686,6625,6562,6497,6431,6364,6295,6224,6152,6077,6002,5925,5847,5768,5687,5606,5522,5436,5347,5257,5164,5068,4971,4871,4769,4667,4562,4459,4357,4256,4155,4056,3958,3862,3767,3673,3580,3488,3397,3306,3214,3122,3027,2931,2832,2731,2629,2528,2427,2329,2232,2143,2058,1983,1914,1851,1793,1738,1686,1635,1584,1530,1474,230000,黑龙江省,232700,大兴安岭地区,地区
3,1,3,122.75,53.25,7883,7891,7893,7889,7880,7867,7848,7825,7798,7768,7733,7696,7655,7611,7564,7514,7460,7405,7349,7293,7238,7184,7132,7080,7027,6973,6916,6858,6797,6735,6670,6604,6537,6469,6399,6327,6253,6177,6101,6023,5944,5864,5782,5698,5613,5525,5435,5343,5249,5152,5054,4952,4848,4743,4638,4533,4429,4326,4224,4123,4024,3926,3829,3734,3639,3546,3453,3361,3267,3174,3077,2979,2878,2776,2674,2571,2467,2367,2270,2178,2093,2015,1946,1882,1822,1768,1714,1663,1610,1555,1498,230000,黑龙江省,232700,大兴安岭地区,地区
4,1,4,123.25,53.25,8500,8509,8512,8508,8497,8483,8463,8438,8409,8376,8339,8299,8254,8207,8157,8103,8045,7985,7925,7864,7805,7747,7691,7635,7578,7520,7459,7396,7330,7262,7193,7123,7050,6975,6900,6822,6743,6662,6580,6496,6410,6323,6235,6144,6053,5958,5862,5762,5660,5556,5449,5340,5228,5116,5001,4888,4776,4665,4555,4447,4339,4234,4129,4027,3924,3824,3723,3624,3524,3421,3319,3212,3104,2994,2883,2772,2661,2553,2448,2349,2257,2173,2098,2029,1966,1906,1848,1792,1735,1677,1615,230000,黑龙江省,232700,大兴安岭地区,地区
5,1,5,123.75,53.25,8518,8528,8529,8526,8516,8501,8481,8456,8427,8393,8356,8316,8272,8224,8174,8120,8062,8002,7942,7881,7821,7764,7708,7651,7594,7535,7475,7411,7346,7278,7208,7138,7065,6990,6915,6837,6757,6676,6594,6509,6423,6337,6248,6157,6065,5970,5874,5774,5672,5568,5461,5351,5239,5126,5013,4899,4787,4675,4565,4456,4348,4242,4138,4035,3933,3832,3732,3632,3531,3429,3325,3219,3111,3000,2889,2777,2666,2557,2453,2353,2261,2178,2103,2034,1969,1909,1852,1796,1739,1681,1619,230000,黑龙江省,232700,大兴安岭地区,地区
6,1,6,124.25,53.25,7503,7511,7513,7509,7500,7488,7469,7447,7422,7393,7361,7324,7286,7244,7199,7152,7101,7048,6995,6941,6889,6838,6789,6739,6689,6637,6583,6528,6470,6410,6349,6286,6222,6157,6090,6022,5951,5880,5807,5733,5658,5581,5503,5423,5342,5259,5174,5086,4996,4904,4809,4713,4614,4514,4415,4315,4215,4117,4021,3924,3830,3737,3644,3554,3464,3375,3286,3199,3110,3020,2928,2836,2740,2642,2544,2446,2348,2253,2161,2073,1992,1918,1851,1790,1735,1683,1631,1582,1532,1481,1426,230000,黑龙江省,232700,大兴安岭地区,地区
7,1,7,120.25,52.75,3323,3338,3354,3368,3380,3391,3401,3410,3417,3422,3426,3429,3430,3431,3430,3428,3425,3423,3419,3415,3410,3404,3398,3391,3384,3376,3367,3358,3348,3337,3325,3312,3299,3284,3269,3252,3235,3218,3199,3179,3159,3138,3116,3094,3070,3046,3020,2994,2966,2938,2909,2879,2848,2817,2787,2756,2723,2692,2661,2631,2602,2572,2543,2516,2488,2461,2433,2406,2376,2346,2314,2281,2244,2209,2173,2138,2104,2072,2041,2013,1986,1962,1939,1918,1898,1879,1860,1841,1824,1804,1784,150000,内蒙古自治区,150700,呼伦贝尔市,地级市
8,1,8,120.75,52.75,6120,6150,6177,6203,6226,6246,6265,6280,6294,6304,6311,6316,6319,6319,6318,6313,6309,6303,6297,6289,6280,6270,6259,6247,6233,6218,6202,6185,6166,6146,6124,6100,6075,6049,6021,5991,5959,5926,5891,5856,5818,5779,5739,5698,5655,5610,5563,5514,5463,5411,5358,5302,5246,5190,5133,5075,5017,4959,4903,4846,4791,4738,4685,4634,4583,4533,4481,4430,4377,4321,4262,4200,4135,4068,4002,3937,3875,3815,3760,3707,3658,3614,3571,3533,3495,3460,3425,3392,3358,3324,3288,150000,内蒙古自治区,150700,呼伦贝尔市,地级市
9,1,9,121.25,52.75,6770,6803,6834,6862,6887,6910,6930,6947,6962,6973,6982,6987,6990,6990,6987,6984,6980,6973,6966,6957,6947,6936,6923,6910,6895,6879,6860,6842,6821,6799,6774,6748,6720,6692,6660,6627,6592,6556,6517,6478,6436,6394,6349,6304,6256,6206,6154,6100,6044,5986,5926,5865,5804,5741,5677,5614,5550,5486,5423,5360,5300,5241,5183,5126,5070,5014,4958,4900,4841,4780,4716,4646,4574,4501,4427,4355,4287,4222,4160,4101,4048,3997,3951,3907,3867,3828,3789,3753,3714,3677,3637,150000,内蒙古自治区,150700,呼伦贝尔市,地级市
