,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,16222.861492000002,17396.028398000002,18090.603813,19274.071439,20823.068302,22639.368545999998,24446.237749,25003.213085000003,28113.281396,30276.77338,32211.25976,33836.04355,35268.782900000006,36670.44201,38199.17663,40010.32999,42197.59258,44625.90535,47099.421,49419.68539,51384.33312,52955.93587,54111.57871999999,54994.9356,55755.67438,56548.20030999999,57500.521479999996,58606.48004,59828.63787,61129.06251999999,62470.42966000001,63803.573130000004,65106.3078,66343.2653,67477.7342,68471.78942,69319.21403999999,70047.4768,70716.31645,71386.11867,72117.96329,73007.2922,74000.94628,75075.27658,76205.38925,77364.52541,78541.95115000001,79685.17495,80759.61664,81731.03073,82565.5289,83252.47318,83836.80275,84387.76772999999,84975.07808,85668.53615,86508.01374,87473.49139,88518.19841000001,89597.64746,90669.80641,91789.16883,92866.77745,93894.35073,94859.50824,95746.31992,96534.03296000001,97271.00988,98007.46951999998,98796.22825000001,99692.92739,100505.57280000001,101442.36563,102470.28899,103552.70507,104648.39101999998,105689.17708,106678.62723000001,107602.11076000001,108446.73008000001,109201.08396,109838.03881,110376.31657,110820.70796999999,111175.75146999999,111445.93402,111607.06215,111691.45872999998,111704.56213,111652.45272,111541.98874999999,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,6827.275314500001,8428.68889517,9453.28430257,10424.095497759992,11359.941135150006,12272.574384349999,13072.351196950007,13168.736376590006,14625.889359409997,15658.08553429001,16710.82457193,17780.157307210004,18850.55264161,19900.353552269993,20908.500861559995,21854.221471939993,22719.12561686,23505.152559700007,24217.91723047999,24863.707676209993,25449.65559874999,26038.930285640006,26591.657208899986,27121.685236059995,27643.85734088,28173.7470226,28720.626823659997,29257.93156081,29751.567509560005,30166.83805825999,30468.060454290007,30624.645803170006,30670.326465870014,30647.63036570999,30602.006659419985,30581.960615070006,30634.84576635999,30751.617731149992,30917.982047439986,31118.68540253,31337.984641700004,31580.545544190016,31811.36072459,32014.626507269997,32174.23376801999,32273.82858851999,32310.00809090001,32284.71956156001,32213.260481069996,32111.023185030004,31993.35366479002,31874.37618622001,31749.602722699987,31613.927406300005,31462.401288209996,31290.26358706002,31091.403495350012,30874.23278303999,30645.215770079994,30409.97431519999,30173.305742730005,29967.09076223,29763.33827552,29560.709407470003,29359.028843179993,29159.302321450006,28957.24021790999,28746.367139460002,28512.778591860002,28241.141425390007,27914.309990759994,27457.138308159996,26958.501415569997,26453.811619269993,25981.0890085,25581.18442463,25278.699832269987,25063.439543609995,24905.657898569996,24774.622102969995,24638.95452829999,24469.97687777,24277.004521990013,24073.43072839999,23872.962641219994,23689.65250907,23531.80518246999,23419.906844640005,23368.69600663001,23392.875306789996,23506.90056908002,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,10925.373628499992,11998.583640549994,12639.224669700003,13539.685449580014,14645.347000709984,15914.369073660004,17178.63449087,17592.029919769982,19857.071991939996,21541.482007360002,23178.706027140015,24713.757071670014,26133.498054519976,27432.709258319974,28607.22546401999,29652.21704207002,30568.762085320002,31401.298645370007,32204.377612969987,33034.91490412997,33952.317022400006,35066.59977235993,36246.91639187998,37404.69710595997,38449.70798658,39291.00175549998,39866.86707428003,40218.68716771001,40415.59805120001,40524.85804193997,40611.75601939996,40723.007700290014,40886.627639069964,41116.31413528001,41428.38995221005,41840.78137269995,42370.331096189984,42968.46719645998,43583.21701931999,44162.089785079996,44652.31600206992,45043.43007393002,45321.888207400014,45515.54299104997,45653.16868367998,45764.709759680074,45888.22536635998,46023.905703339995,46178.89915961005,46360.15951103,46574.53071913001,46827.16586080995,47095.673245989994,47356.07999925002,47584.02225850998,47754.86541152001,47847.18507045002,47884.84245352004,47895.50685118007,47906.586731330004,47945.38834595001,48077.236924850025,48244.83596258,48423.75725644995,48588.57988484993,48712.92880200001,48770.87231695999,48779.41015212997,48757.00648713995,48721.689557579986,48690.75667148002,48564.91217620001,48462.40375462997,48389.93758564002,48354.93988733998,48365.34063788998,48411.104616280056,48484.057868630036,48558.38947552999,48608.05258761993,48606.84991320001,48526.62328325002,48382.28811399001,48188.53686802997,47960.358019800005,47713.14297678003,47450.48946446,47200.50099631996,46979.86436882002,46805.546865990014,46694.63047432994,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,13338.163822999999,16015.921747,17473.549901000002,18725.70394,19806.037952,20739.022108,21387.620959,20848.20071,22411.522996,23252.703821,24110.469508,25013.200418,25953.270338000002,26904.277135,27836.572595999998,28718.269275,29520.336038999998,30245.463557000003,30903.363352999997,31505.400653999997,32064.587159,32660.125238,33223.532557,33749.500402,34233.659064,34672.514815,35070.582497,35450.240177,35839.48130100001,36265.09155,36753.387071000005,37312.165474,37919.711726,38535.705831,39119.133898,39627.987258,40042.06648999999,40375.69689200001,40665.576929,40948.598044000006,41261.822027,41660.56985,42110.673379,42593.900633,43091.426956,43583.552945,44062.822474,44510.433752,44920.80289499999,45288.523274,45608.33362799999,45885.039952,46143.218747,46418.160884,46745.353058999994,47160.20845500001,47677.700476,48264.597208,48869.260746,49441.322115,49931.323703,50352.265917,50679.87441,50946.293643000005,51183.688651000004,51424.68856999999,51688.967373,51985.019119,52309.002741000004,52657.792784,53029.243241,53297.512195999996,53583.763368,53889.630483999994,54215.87917,54562.232969,54911.157348,55264.718007,55610.398007,55936.13590999999,56230.332072,56476.361524,56694.312547999994,56900.582893,57111.672408,57344.227208000004,57600.155634,57910.29889399999,58291.366459,58759.826240999995,59331.689094,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,8191.373272759998,9647.528342200001,10472.330816969996,11254.08138515,11989.442486720003,12672.63783367,13198.07900072,12977.931894029996,14036.868774379998,14594.148394409996,15082.503853179998,15505.273845810003,15892.056203990005,16272.72669913,16673.963906310004,17119.88343714,17626.59393275,18191.805346170004,18808.52304474,19470.77034597001,20173.170596389988,20949.456883669995,21728.80129036001,22475.285815889998,23152.415857720007,23723.555820140005,24169.775528919992,24534.363503969995,24877.64334461,25259.546672390006,25740.25705513001,26356.291861649992,27076.698330070005,27844.738243259988,28601.471165359995,29285.307886080012,29855.125877019986,30318.654009210004,30706.878025809994,31051.62513840001,31385.26179460999,31753.274471349996,32128.96636540999,32496.435876039992,32839.18385166,33140.07606231,33395.25673473,33607.701030430006,33794.56903117,33973.33450281,34161.690004050004,34374.0505467,34595.738526869995,34808.65310041,34994.38485531999,35134.31359139001,35212.2661411,35245.75332025,35255.20234059999,35260.84988676,35282.83051899,35371.04772455001,35492.647765369984,35641.17804456,35809.80355678,35991.05048301,36173.302247800006,36360.10226881001,36552.273865890005,36751.07832457999,36958.252891710006,37088.18886661,37223.308039819996,37361.66391180001,37500.82200506,37637.83134162,37759.01939142999,37867.76725760001,37958.149031059984,38024.39501869,38060.82847311999,38057.76411773999,38028.73602709001,37984.45435067001,37935.810988549994,37893.92249394,37860.35998527999,37855.97539992999,37892.39658690002,37981.25962020999,38134.06679180001,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,16240.678586330005,19404.986075729987,21331.934091469997,23232.555486199984,25139.86825214,27080.670885469986,28862.71051101,29182.594381659987,32619.996527759988,35230.190734510004,38005.75964005002,40935.49477588002,43968.667165890016,47039.79129534998,50087.95633003998,53056.502835440006,55894.18205577001,58585.00523127001,61116.70348704003,63476.87901997,65653.49319781996,67776.18933541999,69696.79188538001,71400.22896687996,72873.25033432001,74104.85773054,75101.44059875999,75906.41014806999,76575.38709887999,77160.98757714996,77713.14228043002,78251.99637895,78782.25440390002,79283.96601110007,79739.99034411002,80135.47607811003,80483.55931580001,80790.28948106,81085.49036863001,81397.66539307003,81754.41322951998,82226.93241189001,82744.00916555998,83275.57576536997,83791.29517762999,84260.25331625999,84676.91866944998,85016.84790624995,85281.66546614998,85472.94745324999,85592.11471625001,85647.06258189002,85634.56615967998,85559.32859120001,85426.45306133,85241.50298451996,84999.16054776001,84705.71244835,84355.87885339,83942.78096296999,83457.58517384998,82977.89771736,82462.24583016995,81955.07868948001,81505.28764478001,81165.86199332,80966.02947100003,80894.15788872,80910.01705490006,80971.69448232,81036.31406639998,80870.56090880999,80617.68576429001,80237.31927613998,79688.57875000998,78931.18337237992,77926.53202440003,76756.85077871999,75505.40338001,74254.64071231999,73085.55213118001,72045.77180619004,71129.25059226002,70300.15092741998,69523.01016355997,68762.60794694001,67966.40534227004,67116.90603137,66180.11250031002,65122.99202444001,63913.928020750005,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,8321.3842399,10312.034436599999,11495.0700899,12522.8206825,13426.158473700001,14225.5404586,14826.929620800001,14593.538079599999,15826.658332,16550.385975,17277.370177,18028.916483,18827.159127,19688.079809,20625.768866000002,21653.679219,22772.649292000002,23941.408298000002,25106.355918,26213.341351000003,27207.336767,28106.017694000002,28871.646937,29537.527696999998,30138.714043,30711.748502000002,31288.247288000002,31866.562126000004,32438.265552999997,32994.466304,33525.979434,34017.680449,34473.47894,34892.336025,35273.807931,35618.048513,35936.301421,36232.354475,36519.861902000004,36812.318243,37123.20926,37485.368628000004,37863.370515999995,38239.085677999996,38593.840543,38908.332236,39178.524348,39406.846746,39611.916298,39812.646645,40028.161715,40275.090022,40541.485044,40812.82615,41074.259655999995,41310.640259,41506.751518,41675.724958,41831.574767,41988.48411,42160.911219999995,42400.246783999995,42662.635154999996,42935.877492,43206.669837,43460.555141,43680.932977000004,43881.337437,44075.174105,44276.340792,44499.196179000006,44651.574878,44838.049259,45060.441914,45320.151101999996,45617.834793,45938.04984400001,46275.092168999996,46609.291485,46921.304559000004,47192.166635999994,47400.816007999994,47565.590125999996,47703.890319,47833.246381000004,47971.383228000006,48123.802698,48320.305896,48578.936563,48917.588717,49353.786353999996,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,1707.2238692199999,2076.55690608,2288.9960309900002,2475.1371952000004,2639.41121217,2784.69549955,2891.76003154,2836.30217355,3064.902173799999,3192.5256208400006,3318.2196224199993,3445.4498005600003,3577.0977799799994,3714.60115442,3858.93807301,4010.81406827,4170.0855781400005,4335.508662869999,4505.400376769999,4678.21391847,4852.48581701,5038.1384054400005,5228.050995330001,5425.762453459999,5634.851133589999,5858.85440719,6098.935616520001,6345.366732830001,6586.352987159999,6810.396841,7006.170742940001,7164.7303142499995,7295.606920790001,7410.944454910001,7523.2070904699995,7645.22364251,7788.862666299999,7950.54774844,8125.326343029999,8308.3304671,8494.886135369998,8686.49337299,8875.02936986,9057.55837396,9230.83225961,9391.299308650001,9539.21335112,9677.29805479,9812.51545815,9952.02210112,10103.144787180001,10271.257892389998,10448.72678983,10625.65144171,10791.881575219999,10937.06632757,11052.663834399997,11145.28672891,11223.851371400002,11297.424122459997,11375.23124596,11475.400596599997,11585.515705249998,11700.283780709999,11813.879829849995,11919.92540097,12011.169288199999,12088.25566424,12151.87187772,12202.941052580001,12242.456096930002,12243.04570475,12235.73553081,12224.35644771,12212.841905430001,12205.283321359999,12201.625401410001,12203.508436760001,12208.445669540002,12213.900884740002,12217.308861740004,12214.189810169999,12205.084547209997,12188.982419219998,12164.877284689996,12131.783655920002,12085.635932840003,12028.55336786,11959.753360159999,11878.576332649998,11784.51718281,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,11543.150063729996,13938.513620100002,15429.611413579998,16865.909579979998,18255.07533723,19596.991038179996,20731.92371702,20717.60057216,22786.399960490002,24106.761068750006,25365.40342976,26553.59606403,27678.294992290008,28743.174269999992,29749.85428750001,30697.665104300013,31585.953565699998,32436.36257110001,33275.49463740001,34132.10682429999,35036.973717600005,36091.10783729999,37222.3901995,38423.16531970001,39685.496916100004,41000.90033819999,42363.982273400004,43771.3543122,45224.02939239998,46724.6247899,48277.972888200005,49874.3904737,51496.812040000004,53109.17310390001,54672.07620319999,56142.6728664,57500.54191400002,58746.93225520001,59909.40429530002,61017.51082459997,62102.53288530001,63227.5608074,64332.712664,65383.26714929998,66342.44799890001,67171.55894549999,67859.63623719999,68414.25976199997,68873.30484750001,69275.62454649998,69660.72277259997,70064.23177700002,70473.4530807,70871.68585929999,71241.8415832,71566.51400230003,71826.97597959999,72048.1871937,72255.07988549999,72472.71210840005,72726.51583009996,73107.7049454,73551.9927554,74052.47331120002,74600.78620330001,75186.52246429998,75785.54725069996,76388.3324659,76976.2959519,77532.69728400001,78042.28118869998,78314.2747918,78549.4005482,78779.75416810001,79037.32340719999,79354.1414363,79732.33858990001,80177.9655975,80669.05220969999,81183.9084715,81701.39544960002,82190.368553,82661.94282300006,83118.86127220001,83563.66241079997,83998.7341398,84404.56806709997,84803.92348490002,85198.97346469997,85591.92398499997,85985.06029970004,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,37017.879937,46338.027568599995,50822.702069299994,53767.0133055,55619.419734799994,56772.97377980001,57198.5436343,54898.8699508,58906.510828799976,62163.25776420002,67023.06963090002,73808.20757560003,82205.3866909,91727.51927080001,101907.5525114,112309.53389070001,122570.31861479998,132566.0770653,142211.83283090006,151413.21342509997,160068.88794310004,168478.83772219994,176484.97492510002,184303.522593,192155.03690900005,200262.09357600004,208749.290112,217291.698843,225475.17358200002,232895.64010599995,239153.268052,243922.80459300012,247491.46554099998,250231.209417,252526.443965,254777.97887,257340.7022689999,259977.12590800002,262379.64263,264235.635213,265226.89355800004,265306.69699,264517.31513800006,263182.25087899994,261639.6223420001,260243.58909800003,259334.73232500002,258771.63761799998,258380.001016,257979.3351939999,257384.457364,256459.03261099992,255162.956035,253513.80708000003,251531.98893699996,249241.27565500003,246660.00986999992,243935.87534099995,241201.9484310001,238582.29836600006,236193.56442600003,234336.94046599997,232733.56908599994,231285.25986000002,229900.3236379999,228492.68955100005,226976.89499600008,225429.61894200003,223915.3917950001,222488.81308500006,221195.14082500004,219543.65077600005,218014.02980900003,216575.001033,215200.884672,213870.96801499993,212517.98591699995,211200.35714100013,209926.67122300004,208702.931534,207532.68475,206378.40342400005,205259.32204599996,204161.97757500006,203073.80363199997,201983.1654519999,200827.583681,199647.5434120001,198434.84483800002,197182.79544400002,195886.42642299994,22940000,22999800
