,省,FID,Join_Count,TARGET_FID,lon,lat,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,16222.861492000002,16677.883176,17003.061498,18050.693934,19614.946105,21535.326076999998,23505.243496999996,25714.422413,28500.944248000003,30754.63211,32660.43791,34097.79469,35234.25956,36293.159779999994,37503.39233,39100.32282,41246.637440000006,43794.292270000005,46507.83793,49141.3712,51438.78757,53326.4095,54777.82503,55957.033070000005,57035.5034,58190.61489,59592.5237,61207.08163,62985.701329999996,64878.275630000004,66833.55960000001,68803.50883,70746.09635,72622.07495000001,74391.6664,76014.9014,77509.24953,78893.07459999999,80241.10341,81628.46523,83130.73323,84913.9147,86865.3191,88957.42104,91162.13640000002,93450.46139000001,95855.99152000001,98267.50766,100630.83192999999,102890.83443,104992.01274,106962.40859,108840.88230999999,110746.72759,112798.74374,115114.37582,117792.60052,120712.03235,123737.26834,126738.12909999999,129588.30914999999,132384.08438000001,135030.25462,137637.3582,140314.81333,143170.86574,146344.02182,149754.16332,153353.15754,157098.49462,160954.22225,164629.07901000002,168384.59009,172236.2281,176193.63663999998,180260.12787,184547.69249,188866.46178,193134.31488999998,197270.59181,201195.65942,204940.25829000003,208493.14602000001,211947.79099999997,215397.38575000002,218934.86810000002,222651.66645999998,226639.86904999998,230986.20649,235771.62355999998,241068.57716,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,6827.275314500001,8169.236105399999,9027.114756290004,9896.429634030002,10779.149043219999,11674.084046730006,12490.446622219999,13398.628276140003,14632.048278739996,15683.192539999995,16722.091808470006,17730.535898009988,18713.650033970007,19671.326062199987,20603.43544070999,21509.674522050005,22388.108824469997,23237.617148450005,24057.032466429995,24845.868902530005,25604.382413550018,26394.63411425001,27170.566599499994,27944.99531771001,28731.202706300002,29542.83707525999,30399.39616947999,31261.50848420001,32093.833454990017,32860.20437774001,33523.635353039994,34059.84499929001,34494.04111770001,34866.193054589996,35217.98109673998,35592.58915031,36043.004703009974,36550.88147077999,37105.40875745999,37695.21354519002,38308.61746425001,38981.880274339994,39650.238765019996,40295.168705790005,40897.97626265999,41439.818577670005,41935.83658271999,42362.30730984,42728.44960001,43044.084356570034,43319.59892810002,43586.79753653998,43829.320299640014,44050.848811380005,44254.93250409003,44444.96071525002,44634.42940207997,44818.640580089974,45001.782475980006,45187.08400526001,45376.92380525997,45635.63901959998,45906.27726904998,46193.619338439996,46503.946901569994,46844.81406065,47239.232379049994,47654.74446174002,48071.263543119974,48467.57418867001,48821.145142249996,49033.641582669996,49188.99008725,49301.30030360997,49386.1202361,49460.80440286998,49576.79761453002,49709.58255672999,49865.16529175003,50048.56460063999,50263.90050662002,50532.78505291,50830.06994624999,51148.18974893001,51479.50204411,51816.20666353003,52150.12714578,52473.45464448998,52777.71915302999,53054.239283739975,53294.167558529974,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,10925.373628499992,12209.784926010016,12818.336870320009,13514.005890899996,14288.361813059988,15138.281203079994,15951.964088169996,16955.944251009983,18451.805082519983,19812.464158529994,21268.561192420006,22800.471733339997,24369.86689789999,25918.641225239993,27387.43130785,28715.084942429985,29858.916083940003,30868.032805129995,31816.878059960003,32784.18561511,33852.87013152999,35158.931178970044,36569.10239159003,37991.94111415005,39332.81354341997,40494.63252869999,41422.418669539984,42125.865664929974,42659.12265378993,43077.54070413001,43437.42035560995,43794.9997316,44197.85193963001,44694.305934880016,45334.451546239965,46169.423798259995,47248.25020278001,48471.05949830995,49733.20740002995,50929.25859806007,51953.1864756,52796.62405723001,53447.40239657002,53990.895839109995,54514.52830346994,55107.87682710004,55879.68485755002,56775.544234299996,57755.29031482006,58777.78189180001,59801.14661130006,60822.57297734003,61813.287738070074,62782.35851041996,63738.98248774995,64692.39787540005,65667.73437487,66667.51468977999,67709.41300451999,68811.54957661008,69992.95681719005,71362.25513537005,72801.8822319099,74274.25248922991,75738.95154099994,77152.7772034301,78514.37178844996,79809.45035147999,81066.90339101004,82316.58306032003,83588.90496753994,84780.11092686991,86072.98817740995,87524.64583728001,89192.87571047002,91135.04523507996,93440.58529160001,95948.95417691002,98527.81657799006,101044.3133342201,103365.32369194004,105434.1937447301,107254.51851292992,108904.38211831,110462.36180665997,112007.81861576001,113620.36642348,115380.90999392,117368.31621336013,119658.76300121004,122323.74105051003,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,13338.163822999999,15937.569489000001,17216.935919999996,18233.834359,19054.297598999998,19727.652856,20155.414123,20667.749595,21642.425477,22357.721082,23139.669972,24013.147157,24969.478776999997,25973.547357,26988.344072,27975.103949,28899.713746999998,29761.649489,30569.284756000005,31332.733252000005,32063.879910999996,32846.905595000004,33609.316255,34346.740419,35054.696355,35728.618952,36386.51829,37039.818613,37722.488601,38468.972019,39314.277588000004,40279.150039,41318.82391199999,42372.135157,43376.712556,44269.276564,45029.849387,45680.466852,46286.604163,46914.001110000005,47628.621493,48538.778856,49555.66729600001,50629.664859000004,51710.288809,52746.058210999996,53734.320789,54647.0619,55503.926097999996,56325.11569299999,57131.25432199999,57973.438085,58848.581595999996,59782.060011999994,60798.847788,61923.423028000005,63178.754973,64501.380215000005,65827.678484,67095.869978,68245.139335,69328.888658,70293.967298,71195.897564,72091.288373,73038.16791199999,74114.26578300001,75295.38605999999,76574.199846,77943.985531,79399.37145499999,80803.95135999999,82276.299409,83809.693188,85395.53264099998,87022.926293,88740.43930200001,90477.215136,92221.04028300001,93960.20616899998,95683.42412099999,97419.71807300001,99128.73026000001,100806.846125,102449.299729,104050.20509399999,105602.248938,107098.277947,108529.263111,109885.183892,111155.066266,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,8191.373272759998,9567.307994550001,10276.58775858,10922.56528964,11513.808968080002,12054.637807370002,12460.20062385,12910.093876540002,13620.212988509995,14112.234416110005,14561.335423909997,14966.154993099994,15354.423480640002,15750.840083350004,16179.989150689998,16666.624396130002,17229.722429119996,17868.460559289993,18576.884180020003,19349.25930563,20179.750223659994,21104.568275319998,22047.93402838,22971.71856805,23836.690397050003,24602.79329901,25258.15107049,25838.890996930008,26410.866661750006,27041.42701999,27799.3884825,28733.31639018,29800.823038349994,30935.86948207,32070.525447529995,33135.218085060005,34093.74369856001,34947.40000692999,35731.82152136,36483.2872229,37238.52435920002,38072.01929380999,38921.64862737003,39760.10234944,40559.54766422001,41291.64340413,41967.255364050005,42580.60795280001,43164.35886280998,43751.82212297,44376.67067809999,45081.301628750014,45806.68461084002,46501.24470238998,47113.83414543001,47594.09238263999,47922.80762476,48138.35861384,48307.15200808999,48493.75628062001,48761.57456293999,49220.58744923,49766.99346826003,50340.68453760998,50880.66954481998,51325.18533623004,51657.04426855003,51912.271905880014,52169.37107614001,52505.21761725,52995.63847962,53602.36048277,54350.79316049001,55155.61927669002,55929.300588660015,56581.513833270015,57087.05990463004,57452.81351242999,57752.45215181999,58060.275992670024,58450.82652900002,59003.74552395998,59678.525692920004,60437.85851119999,61243.39662591001,62055.53987922001,62833.21522044,63534.98246896002,64118.18133659001,64540.01806156999,64758.33515385999,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,16240.678586330005,19179.126226599994,20850.21409505,22477.110892579996,24102.379468999992,25760.04170431,27289.381461160006,29103.527443010014,31747.554291000008,34168.33196582998,36785.90538748,39593.21241185001,42560.42372160999,45627.09900734001,48732.41808993003,51814.94872109,54818.56393425999,57727.05832222999,60531.95727888,63224.73094175004,65797.36579982002,68393.43416667003,70847.33190005,73134.63948766001,75231.26008065,77113.45289415005,78807.46070297001,80328.21033308003,81740.13684021992,83108.82979604001,84500.93384469004,85967.43282041,87480.81453388004,88996.35239135001,90469.48597542995,91855.88423728998,93170.79836250003,94391.08353789002,95550.84778966004,96683.5008467,97821.80001277002,99116.64335620998,100446.62290278997,101806.40188613,103191.36468424997,104597.41127451,106088.19294905,107554.27141268995,108948.87873339,110225.15462111997,111336.63732439002,112315.37761590001,113164.39960478002,113962.09441597,114786.31918983998,115713.79071950998,116820.20743069006,118028.45340593,119260.58905005001,120438.87712440005,121484.94909110997,122506.37774570996,123362.93085325003,124097.01232466994,124755.18332838999,125389.04663984,126105.57315889007,126911.53933092,127857.89087412995,128991.77609771,130358.28095103001,131760.37313954998,133316.44677816998,134913.17241659004,136434.48560309995,137761.13906158003,138902.90373685994,139818.26599861003,140593.95519083008,141316.60891666007,142072.05017552007,142981.24742216006,143970.87103877994,145001.14556368,146031.53540178004,147020.59115862005,147925.50681839,148704.51071210988,149314.32831614005,149711.93911390993,149855.27338372992,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,8321.3842399,10230.1531031,11284.4336005,12156.669801299999,12894.512022399998,13531.810827099998,13998.196348399999,14518.7192104,15360.200429999999,16009.109296000002,16687.690157,17413.001275,18208.070762,19085.649643,20058.551867000002,21140.100726,22332.59526,23596.791308,24880.510301000002,26129.317942,27286.679996,28373.217811,29345.589848999996,30236.728212,31081.299931999994,31915.363815999997,32783.243935,33671.054349,34571.130243,35475.55371,36376.217033,37266.127006,38138.049592,38985.828829,39803.513112,40585.388103000005,41349.291239,42084.457367,42802.592982,43515.330025,44234.257224999994,45023.837564,45821.227589,46614.425649,47391.390101000005,48140.006776,48887.859306,49617.738983999996,50350.507041000004,51107.346024,51909.528116,52794.148111,53702.646832,54590.910929000005,55415.206049,56132.493677000006,56730.833291999996,57244.70218199999,57736.952521,58269.21272999999,58902.634259,59761.429862,60734.295437999994,61767.223869999994,62804.290347,63787.459863,64698.348791,65527.081547999995,66303.649662,67057.847716,67818.828364,68501.294515,69232.143899,70031.038986,70918.422673,71915.03855,73082.03073,74341.365567,75652.316924,76973.63132300001,78263.700488,79522.57483,80730.99173800001,81909.737158,83079.35290999999,84260.14087999999,85471.76053099999,86734.22382399999,88065.82302899999,89483.289949,91001.148617,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,1707.2238692199999,2027.9292634600001,2204.6103471199995,2365.1673234299997,2512.6779867000005,2648.8956829900003,2755.6368301499997,2872.953321019999,3049.9192041300003,3180.328488750001,3303.40353951,3418.933956540001,3533.0415966300006,3651.1471349500002,3778.6897429299997,3921.19062562,4082.516580650001,4260.51970323,4451.37256283,4651.156167649999,4855.81501194,5074.08678273,5298.91018203,5535.51019849,5789.26533645,6065.67332682,6369.926531759999,6688.73408238,7007.895581349999,7312.966238749998,7589.26448436,7826.837400099999,8034.528407300002,8226.41508693,8416.962177729998,8620.95928963,8854.158127460001,9109.40883139,9380.03285098,9659.359112740001,9940.785205649998,10231.864660279998,10519.765082830001,10804.9294785,11087.74807105,11368.56055326,11656.605728469996,11948.43396634,12248.90151698,12562.830538769998,12894.948757260003,13253.902981120002,13624.664241049999,13995.796435530001,14356.013098200003,14694.260895999996,15006.188308499999,15293.703142900004,15565.026233800001,15828.433077199998,16092.260296599998,16384.9401217,16681.6243391,16975.635490799996,17259.8291895,17526.686146300006,17779.388809699994,18022.0095327,18269.190418699996,18535.6158376,18836.1262169,19149.344597699997,19493.564605300002,19851.980716399994,20207.0173829,20540.2059713,20852.834574800003,21141.8781422,21424.446746399997,21717.9299517,22039.928351800005,22411.241320799996,22811.709755800006,23223.160058099995,23626.784961499998,24003.125594700006,24332.0719127,24593.39822610001,24766.561080900006,24831.267135399998,24767.935056900005,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,11543.150063729996,13879.861884599999,15218.935329660004,16439.951399110007,17574.054296960006,18641.314632419988,19519.73589755,20498.408527339998,21939.344601149995,23090.657374070004,24238.16250064,25376.627403820006,26511.431224849995,27633.3151182,28732.152532799995,29796.893896600013,30819.857969599987,31819.6320542,32822.3384121,33856.43250319999,34952.463083400005,36218.039066499994,37580.07924479999,39036.13933720002,40583.263220400004,42218.0799864,43956.58290039999,45776.7743649,47674.935545199995,49647.54431579999,51691.4139646,53801.19293790001,55953.4061715,58120.300185000015,60272.8678379,62380.99889619999,64450.78028020001,66447.3229774,68371.76032130001,70226.25607470001,72013.79443290003,73826.00858159999,75552.30907499998,77164.69985570002,78634.53720230002,79932.7545711,81099.05101299997,82110.58893669999,83011.3351623,83846.64369459994,84662.9333518,85535.0873952,86390.6396012,87182.9847754,87865.8283177,88393.49431950002,88765.05879679999,89037.80749270001,89309.08759550001,89673.27163399999,90223.16771739998,91143.76052300002,92246.4303958,93428.75969569999,94586.52130559999,95613.55739449999,96472.7057817,97172.51170999998,97787.94543759999,98391.54298799996,99053.01742879998,99661.76924499996,100366.3691059,101145.9179976,101980.65995409996,102851.36207059998,103816.00630059998,104810.87959979998,105845.66649420002,106929.1880753,108069.49436009998,109311.54278119998,110591.99999500005,111882.21868099997,113152.43896309998,114371.73097989998,115507.70103629999,116528.40283119999,117400.40366819999,118090.18657480003,118564.73062989996,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,37017.879937,45711.99507449999,49522.12827679997,51841.85960529999,53193.15243989998,54004.35530020001,54291.35959570001,55229.2197426,58114.54386860001,61347.9622171,66140.12695589999,72784.74096050003,81040.49304529998,90479.54910360002,100669.0943094,111172.7722551,121617.07020179999,131927.53598180003,142093.47093159996,152097.14073780001,161915.99190499997,171940.47445709998,181949.545538,192106.06177299994,202580.23045000003,213548.21725699998,225198.07045799994,237151.898405,249023.73334600005,260422.44035899988,270951.68967399996,280341.0285139999,288806.59486500005,296701.0454090001,304386.4651220001,312233.2613069999,320651.44428399997,329246.6874219999,337648.3834889999,345485.07686400006,352384.17217800004,358538.20817100006,363711.6925349999,368225.7284209999,372409.8220439999,376602.6639469999,381336.9756710001,386300.1721169999,391349.1931020001,396339.3505319998,401125.363885,405780.88060100004,410025.78744000004,413789.8695730001,417004.76075300004,419603.9799050001,421672.575285,423335.681979,424852.4585409999,426469.94844900013,428426.24580900004,431470.9703069998,434902.53043200023,438519.310905,442124.79375699995,445526.8102409999,448810.27558900026,452064.3964359998,455630.3771239999,459838.22080499976,465012.0596669999,470570.1708280001,476878.85006699996,483431.76042800007,489708.38642900006,495171.515718,499777.741156,503435.12241499993,506549.22790700005,509527.6407909999,512777.03653599985,516816.7880960001,521399.52980099997,526381.7217379999,531615.9829190001,536949.8708179999,542223.60384,547278.1858989999,551945.5493730003,556054.433279,559432.5024989999,22940000,22999800
