,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,23019194,23283892,23535935,23775126,24001409,24214867,24415687,24604160,24780654,24945614,25099542,25243065,25377073,25502502,25620275,25731300,25836357,25935776,26029771,26118561,26202373,26281385,26355601,26424989,26489501,26549106,26603658,26652636,26695424,26731392,26759907,26780540,26793685,26799949,26799929,26794225,26783294,26767015,26745139,26717432,26683672,26643725,26597770,26546059,26488861,26426449,26359045,26286647,26209186,26126590,26038785,25945756,25847794,25745239,25638415,25527626,25413277,25296249,25177558,25058211,24939220,24821250,24703556,24585033,24464570,24341049,24213259,24079654,23938603,23788486,23627670,23455596,23276030,23093848,22913996,22741480,22580859,22434691,22305042,22193991,22103623,22035233,21986952,21956068,21939807,21935364,21939866,21950415,21964074,21977877,21988837,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,45966766,46160710,46358943,46559526,46760421,46959512,47154649,47343655,47524361,47694639,47852391,47995805,48124184,48237135,48334187,48414916,48479246,48528556,48564623,48589212,48604067,48610733,48609858,48601834,48587052,48565920,48538579,48504112,48461320,48409016,48345989,48271073,48183194,48081286,47964311,47831202,47681220,47514902,47333120,47136748,46926631,46703792,46469666,46225789,45973723,45715025,45451131,45183016,44911483,44637381,44361535,44084948,43809290,43536402,43268174,43006457,42752448,42504850,42261575,42020574,41779694,41537085,41292177,41044831,40794804,40541940,40286092,40027102,39764911,39499463,39230790,38959557,38688872,38422402,38163819,37916774,37683821,37463098,37251553,37045945,36842912,36639578,36435150,36229459,36022401,35813926,35603998,35392629,35179945,34966026,34751013,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,24407563,24533904,24647279,24747951,24836199,24912285,24976586,25029367,25070934,25101595,25121585,25131180,25130556,25120057,25099724,25069975,25030975,24983464,24928242,24865981,24797434,24723268,24643528,24558320,24467534,24371120,24269062,24160859,24045978,23923913,23794193,23656346,23510563,23357150,23196400,23028565,22853941,22672758,22485271,22291654,22092080,21886718,21675734,21459145,21237136,21009754,20777169,20540073,20299349,20055786,19810263,19563513,19316553,19070209,18825455,18583317,18344557,18109426,17877915,17650051,17425934,17205561,16988623,16774721,16563423,16354326,16146981,15940586,15734323,15527354,15318731,15107974,14896193,14684950,14475871,14270547,14070642,13877391,13691952,13515513,13349326,13194131,13048587,12910758,12778781,12650639,12524373,12397974,12269379,12136458,11997175,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,19612368,19836611,20056354,20270491,20478000,20677961,20869525,21051953,21224569,21386797,21538118,21678254,21807618,21926793,22036331,22136772,22228689,22312855,22390087,22461206,22527028,22588260,22645135,22697773,22746291,22790801,22831358,22867734,22899653,22926815,22948922,22965718,22977085,22982946,22983231,22977856,22966834,22950568,22929565,22904350,22875456,22842994,22805325,22760367,22706038,22640255,22562342,22477321,22391687,22311969,22244779,22191773,22134454,22049008,21911259,21696611,21391092,21024860,20639697,20278069,19983184,19787053,19674369,19617567,19588629,19559088,19505693,19427523,19329374,19216136,19092800,18963889,18831629,18697653,18563586,18431044,18301848,18178778,18064887,17963291,17877146,17808777,17757041,17719886,17695220,17680911,17674785,17674646,17678267,17683398,17687775,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,27452818,27504078,27532856,27540732,27529334,27500285,27455181,27395501,27322692,27238067,27142860,27038028,26923815,26800336,26667716,26526088,26375674,26216953,26050442,25876694,25696207,25509446,25316456,25117222,24911722,24699933,24481781,24256899,24024882,23785333,23537844,23282227,23018883,22748398,22471390,22188442,21900028,21606147,21306583,21001171,20689665,20371995,20048698,19720483,19388033,19051993,18712900,18370631,18024973,17675672,17322472,16965469,16606344,16247231,15890297,15537773,15191457,14851290,14516705,14187205,13862288,13541565,13224899,12912272,12603593,12298805,11997712,11699722,11404101,11110028,10816611,10523013,10228788,9933637,9637362,9339756,9041400,8745727,8456985,8179608,7918114,7676004,7452021,7243669,7048390,6863504,6686312,6514043,6343849,6172828,5998052,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,80420721,80391157,80336182,80257226,80155463,80031785,79886775,79720749,79533741,79325452,79095362,78842647,78566127,78264610,77936965,77582171,77199957,76793300,76366026,75921865,75464623,74997209,74519232,74029464,73526654,73009584,72477287,71930023,71368328,70792751,70203896,69602050,68986504,68356182,67710070,67047156,66366633,65668604,64953346,64221061,63471920,62706378,61925981,61132599,60328023,59514047,58692557,57866076,57037315,56208962,55383724,54564135,53752037,52949095,52157074,51377827,50612233,49856972,49107743,48360186,47609911,46853791,46093771,45333092,44575017,43822867,43078890,42341184,41606561,40871754,40133259,39388408,38638097,37884238,37128848,36374113,35622493,34877385,34142479,33421631,32718832,32037031,31374357,30727712,30093859,29469620,28851645,28236601,27621073,27001581,26374601,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,11768136,11874334,11976227,12073419,12165557,12252330,12333458,12408702,12477843,12540695,12597093,12646959,12690531,12728112,12760002,12786493,12807897,12824640,12837157,12845894,12851293,12853739,12853397,12850373,12844774,12836708,12826221,12813148,12797269,12778355,12756184,12730602,12701730,12669763,12634899,12597333,12557207,12514472,12469029,12420781,12369634,12315518,12258450,12198470,12135620,12069938,12001485,11930396,11856822,11780917,11702831,11622735,11540919,11457701,11373399,11288330,11202748,11116700,11030175,10943152,10855620,10767613,10679357,10591143,10503264,10416021,10329476,10242734,10154639,10064020,9969695,9870770,9767605,9660874,9551244,9439385,9326376,9214954,9108328,9009791,8922715,8849648,8789610,8740686,8700921,8668309,8640801,8616314,8592729,8567899,8539650,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,6618966,6662660,6707473,6752990,6798800,6844481,6889617,6933812,6976668,7017809,7056868,7093553,7127711,7159251,7188063,7214035,7237144,7257622,7275779,7291933,7306395,7319432,7331080,7341346,7350226,7357710,7363786,7368384,7371415,7372791,7372432,7370237,7366073,7359820,7351324,7340457,7327109,7311307,7293105,7272573,7249760,7224781,7197875,7169315,7139398,7108403,7076586,7044103,7011078,6977638,6943911,6910039,6876226,6842689,6809654,6777330,6745872,6715128,6684887,6654907,6624977,6594863,6564410,6533498,6502001,6469793,6436761,6402954,6368415,6333222,6297463,6261310,6225269,6189905,6155788,6123480,6093356,6065063,6038056,6011763,5985571,5958976,5931906,5904425,5876600,5848508,5820233,5791882,5763554,5735366,5707441,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,58569086,58710368,58846927,58976383,59096183,59203658,59296017,59370404,59423890,59453489,59456116,59429293,59372903,59287447,59173439,59031422,58862733,58671972,58464536,58245801,58021181,57795198,57568982,57342826,57117039,56891912,56667457,56442606,56216010,55986310,55752188,55511815,55261498,54997070,54714348,54409157,54078250,53722163,53342356,52940280,52517357,52075467,51618250,51149777,50674148,50195420,49716988,49239401,48762510,48286165,47810203,47334876,46862150,46394454,45934247,45484037,45045581,44617475,44197526,43783481,43373073,42964401,42557109,42151245,41746850,41343962,40942589,40542470,40143288,39744725,39346483,38948431,38551185,38155481,37762034,37371511,36984527,36601610,36223238,35849908,35482094,35120152,34763935,34413165,34067617,33727100,33391440,33060505,32734152,32412297,32094836,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,95792722,96110419,96396082,96649221,96869287,97055674,97207650,97324411,97405025,97448445,97453470,97419296,97346891,97237690,97093181,96914844,96704618,96466068,96203175,95919910,95620270,95307405,94981150,94640521,94284545,93912257,93522653,93114683,92687344,92239585,91770395,91278879,90764579,90227148,89666265,89081586,88472968,87841024,87186516,86510194,85812792,85095337,84360311,83610485,82848650,82077561,81299719,80516552,79729240,78938938,78146821,77354412,76564746,75781278,75007520,74247056,73502172,72769769,72045349,71324363,70602218,69875870,69148806,68426160,67713211,67015299,66335700,65669077,65007856,64344319,63670640,62981318,62280721,61575725,60873324,60180601,59503603,58843776,58201400,57576735,56970004,56381323,55810519,55257339,54721583,54203117,53701794,53217550,52750288,52299981,51866593,22940000,22999800
