,PROVINCE,SSP,YEAR,result
384,广东省,SSP1,2080,2294574.045
1680,山东省,SSP1,2080,2221674.165
1194,江苏省,SSP1,2080,1446054.481
870,黑龙江省,SSP1,2080,1223716.673
1113,吉林省,SSP1,2080,1220076.232
1437,内蒙古自治区,SSP1,2080,1214915.321
2409,浙江省,SSP1,2080,1207814.373
141,北京市,SSP1,2080,1155873.921
1356,辽宁省,SSP1,2080,1143803.788
2490,重庆市,SSP1,2080,1114586.068
303,甘肃省,SSP1,2080,1088796.049
789,河南省,SSP1,2080,839631.4045
2004,四川省,SSP1,2080,814800.363
60,安徽省,SSP1,2080,714708.095
627,海南省,SSP1,2080,665048.9775
951,湖北省,SSP1,2080,654335.381
2328,云南省,SSP1,2080,609523.7555
1518,宁夏回族自治区,SSP1,2080,597325.552
1275,江西省,SSP1,2080,541288.7695
1923,上海市,SSP1,2080,539512.034
1842,陕西省,SSP1,2080,533046.336
465,广西壮族自治区,SSP1,2080,525337.5565
1032,湖南省,SSP1,2080,524037.648
222,福建省,SSP1,2080,491962.7865
2247,新疆维吾尔自治区,SSP1,2080,408134.0475
1761,山西省,SSP1,2080,378460.3435
708,河北省,SSP1,2080,362758.7905
546,贵州省,SSP1,2080,334901.702
1599,青海省,SSP1,2080,314664.92
2085,天津市,SSP1,2080,291619.621
2166,西藏自治区,SSP1,2080,111776.061
