,PROVINCE,SSP,YEAR,result
4171,山东省,SSP2,2060,2161837.205
2875,广东省,SSP2,2060,1189044.459
4576,天津市,SSP2,2060,283847.427
3604,吉林省,SSP2,2060,1173402.271
3685,江苏省,SSP2,2060,869224.4015
4495,四川省,SSP2,2060,846303.2375
4900,浙江省,SSP2,2060,829960.493
3928,内蒙古自治区,SSP2,2060,827840.068
3442,湖北省,SSP2,2060,815405.4455
4981,重庆市,SSP2,2060,783722.7055
3766,江西省,SSP2,2060,765898.1975
3280,河南省,SSP2,2060,679394.9945
4819,云南省,SSP2,2060,650473.31
2551,安徽省,SSP2,2060,639318.9945
3037,贵州省,SSP2,2060,624350.2845
3118,海南省,SSP2,2060,615611.561
3847,辽宁省,SSP2,2060,594928.97
2713,福建省,SSP2,2060,579472.473
4009,宁夏回族自治区,SSP2,2060,565050.377
2956,广西壮族自治区,SSP2,2060,554696.5095
3523,湖南省,SSP2,2060,533991.514
2632,北京市,SSP2,2060,525799.212
4333,陕西省,SSP2,2060,518655.359
4414,上海市,SSP2,2060,508401.658
3199,河北省,SSP2,2060,480313.8355
3361,黑龙江省,SSP2,2060,429710.0925
4252,山西省,SSP2,2060,365054.948
4738,新疆维吾尔自治区,SSP2,2060,342199.041
2794,甘肃省,SSP2,2060,296313.855
4090,青海省,SSP2,2060,267480.28
4657,西藏自治区,SSP2,2060,257170.417
