,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT,speed,
,SSP1,2019,,,,,,,,,,,,13032421.04,13032421.04,,
0,SSP1,2020,882515.8909,1382637628,746497.7713,61064.0519,82958257680,1860,52950953.45,22149970774,3.47E+13,18736097546,1532626187,14443576.94,15111205.22,1.09,109.2925935
1,SSP1,2021,939195.4441,1385082194,780678.1662,62577.0442,83104931640,1860,56351726.64,23572551898,3.48E+13,19593979828,1570600274,14884513.55,15274457.66,1.080340246,110.2783483
2,SSP1,2022,996707.7423,1386948866,813289.4809,64002.33285,83216931960,1860,59802464.53,25016033804,3.48E+13,20412480294,1606373117,15220427.44,15435060,1.051443812,111.2878807
3,SSP1,2023,1054809.996,1388313538,844181.1989,65339.65656,83298812280,1860,63288599.78,26474322821,3.48E+13,21187821178,1639938156,15803446.92,15593341.61,1.025468092,112.3185879
4,SSP1,2024,1113274.579,1389250990,873241.9211,66589.69471,83355059400,1860,66796474.76,27941705810,3.49E+13,21917206511,1671312445,15946124.14,15749619.45,1.002208762,113.3677036
5,SSP1,2025,1171888.524,1389836837,900398.3262,67753.95116,83390210220,1860,70313311.46,29412837583,3.49E+13,22598796028,1700533728,16090826.98,15904198.03,0.981475041,114.4321233
6,SSP1,2026,1230427.21,1390136151,925612.9813,68834.63338,83408169060,1860,73825632.58,30882080444,3.49E+13,23231650213,1727657409,16332101.5,16057369.46,0.963088056,115.5093294
7,SSP1,2027,1288703.743,1390173929,948881.2694,69834.53138,83410435740,1860,77322224.56,32344743628,3.49E+13,23815653181,1752753514,16446012.5,16209413.45,0.946879815,116.5998952
8,SSP1,2028,1346543.314,1389964699,970227.6855,70756.90039,83397881940,1860,80792598.85,33796439660,3.49E+13,24351419731,1775903745,16639240.8,16360597.26,0.932691384,117.7051278
9,SSP1,2029,1403784.037,1389523195,989701.7376,71605.35035,83371391700,1860,84227042.19,35233105378,3.49E+13,24840192442,1797198707,16829907.97,16511175.74,0.920372796,118.8261974
10,SSP1,2030,1460276.53,1388864171,1007373.658,72383.74417,83331850260,1860,87616591.82,36650991561,3.49E+13,25283734062,1816735352,16956574.07,16661391.34,0.909781362,119.9641526
11,SSP1,2031,1519209.398,1388003355,1023330.106,73096.10637,83280201300,1860,91152563.9,38130127879,3.48E+13,25684219593,1834614692,17092606.49,16811474.08,0.900781556,121.1198375
12,SSP1,2032,1577363.219,1386960601,1037670.003,73746.54269,83217636060,1860,94641793.13,39589711140,3.48E+13,26044131865,1850939776,17356468.78,16961641.55,0.893243935,122.2936076
13,SSP1,2033,1634615.271,1385756730,1050500.642,74339.17112,83145403800,1860,98076916.26,41026661223,3.48E+13,26366163772,1865813958,17319728.99,17112098.96,0.887045053,123.4855916
14,SSP1,2034,1690852.824,1384412646,1061934.152,74878.06378,83064758760,1860,101451169.4,42438148719,3.47E+13,26653129607,1879339445,17349500.71,17263039.04,0.882066474,124.6957624
15,SSP1,2035,1745972.857,1382949210,1072084.4,75367.19955,82976952600,1860,104758371.4,43821587980,3.47E+13,26907887280,1891616100,17392229.47,17414642.18,0.878194948,125.9239461
16,SSP1,2036,1800464.028,1381378168,1081064.368,75810.42632,82882690080,1860,108027841.7,45189243628,3.47E+13,27133272510,1902740500,17515358.47,17567076.28,0.875321423,127.1706524
17,SSP1,2037,1853692.701,1379675182,1088984.025,76211.43216,82780510920,1860,111221562.1,46525212268,3.46E+13,27332045310,1912805211,17591412.75,17720496.86,0.873341594,128.4396291
18,SSP1,2038,1905581.621,1377806717,1095948.667,76573.72442,82668403020,1860,114334897.3,47827554894,3.46E+13,27506848545,1921898263,17795086.98,17875047.01,0.872154746,129.7355194
19,SSP1,2039,1956062.039,1375739121,1102057.724,76900.61556,82544347260,1860,117363722.3,49094545986,3.45E+13,27660177715,1930102794,17877223.41,18030857.43,0.871664392,131.0630566
20,SSP1,2040,2005073.449,1373439025,1107403.949,77195.21491,82406341500,1860,120304406.9,50324666950,3.45E+13,27794360814,1937496845,17936503.52,18188046.37,0.871777385,132.4270393
21,SSP1,2041,2052368.363,1370874905,1112072.964,77460.42526,82252494300,1860,123142101.8,51511706172,3.44E+13,27911546859,1944153271,17993157.39,18346719.65,0.872404215,133.8321942
22,SSP1,2042,2098088.01,1368023594,1116143.087,77698.94347,82081415640,1860,125885280.6,52659208282,3.43E+13,28013701521,1950139759,18136760.13,18506970.72,0.873458969,135.2825405
23,SSP1,2043,2142195.728,1364864261,1119685.385,77913.26419,81891855660,1860,128531743.7,53766253122,3.43E+13,28102608465,1955518923,18185127.1,18668880.58,0.874858765,136.7819578
24,SSP1,2044,2184662.036,1361375468,1122763.894,78105.68612,81682528080,1860,131079722.1,54832100746,3.42E+13,28179874950,1960348457,18414415.64,18832517.81,0.876524083,138.3344878
25,SSP1,2045,2225464.352,1357536406,1125435.969,78278.32,81452184360,1860,133527861.1,55856184410,3.41E+13,28246940465,1964681337,18661574.74,18997938.59,0.878378425,139.9442292
26,SSP1,2046,2265443.664,1353332676,1127752.705,78433.09796,81199960560,1860,135926619.8,56859611771,3.40E+13,28305087442,1968566057,18853914.05,19165186.66,0.880348515,141.6147485
