,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT,speed
,SSP5,2019,,,,,,,,,,,,13032421.04,13032421.04,
324,SSP5,2020,857468.393,1382637623,764262.5734,62748.12958,1.52E+11,3410,94321523.23,21521312011,3.47E+13,19181970363,1574894289,14516504.3,14516504.3,2.49
325,SSP5,2021,911303.0104,1385082190,806818.5523,64894.04776,1.52E+11,3410,100243331.2,22872489045,3.48E+13,20250068626,1628753971,15494422.21,15387420.9,2.476448761
326,SSP5,2022,966426.3387,1386948868,849116.6514,67020.63908,1.53E+11,3410,106306897.3,24256010999,3.48E+13,21311694447,1682128574,15647389.98,15756704.63,2.399906601
327,SSP5,2023,1022678.189,1388313527,890966.5036,69123.33915,1.53E+11,3410,112494600.8,25667857358,3.48E+13,22362069873,1734903538,16049455.67,16123293.9,2.326560494
328,SSP5,2024,1079902.086,1389250954,932193.4763,71197.95203,1.53E+11,3410,118789229.5,27104100784,3.49E+13,23396811852,1786973553,16407235.74,16487068.82,2.256207216
329,SSP5,2025,1137945.562,1389836775,972640.7089,73240.68991,1.53E+11,3410,125174011.8,28560914531,3.49E+13,24411983397,1838243546,16743345.19,16847915,2.188661794
330,SSP5,2026,1196596.78,1390136134,1012170.301,75248.20551,1.53E+11,3410,131625645.8,30032981818,3.49E+13,25404123395,1888629508,16982411.31,17205723.49,2.123755318
331,SSP5,2027,1255727.626,1390173880,1050663.648,77217.61709,1.53E+11,3410,138130038.8,31517087113,3.49E+13,26370255020,1938059109,17268032.58,17560390.83,2.061333521
332,SSP5,2028,1315193.826,1389964623,1088020.976,79146.52551,1.53E+11,3410,144671320.9,33009609351,3.49E+13,27307874088,1986472136,17635894.38,17911819.03,2.001255012
333,SSP5,2029,1374856.182,1389523127,1124160.193,81033.02365,1.53E+11,3410,151234180,34507054846,3.49E+13,28214920176,2033820721,18181694.02,18259915.57,1.943390191
