,PROVINCE,SSP,YEAR,result
11218,江苏省,SSP5,2060,2262491.06
10408,广东省,SSP5,2060,1926752.293
11704,山东省,SSP5,2060,1779723.3869999999
12433,浙江省,SSP5,2060,1718385.101
10813,河南省,SSP5,2060,1651251.01
11137,吉林省,SSP5,2060,1061927.1809999999
12514,重庆市,SSP5,2060,1003454.4029999999
11461,内蒙古自治区,SSP5,2060,978351.5090000001
12109,天津市,SSP5,2060,967348.8745
10894,黑龙江省,SSP5,2060,871704.064
11866,陕西省,SSP5,2060,856898.4375
11542,宁夏回族自治区,SSP5,2060,837021.76
11380,辽宁省,SSP5,2060,805450.3609999999
10651,海南省,SSP5,2060,803296.6785
11785,山西省,SSP5,2060,764239.678
11947,上海市,SSP5,2060,744178.405
11299,江西省,SSP5,2060,708380.41
10327,甘肃省,SSP5,2060,686598.8620000001
12028,四川省,SSP5,2060,656750.8295
10975,湖北省,SSP5,2060,651690.996
10489,广西壮族自治区,SSP5,2060,614164.3825
11056,湖南省,SSP5,2060,609963.905
10246,福建省,SSP5,2060,571756.6975
12190,西藏自治区,SSP5,2060,546222.414
11623,青海省,SSP5,2060,516816.146
10165,北京市,SSP5,2060,507730.5485
10732,河北省,SSP5,2060,496305.6065
10084,安徽省,SSP5,2060,471023.081
10570,贵州省,SSP5,2060,400171.31299999997
12271,新疆维吾尔自治区,SSP5,2060,302811.5475
12352,云南省,SSP5,2060,292826.1605
