区域,RCOD,AD,RBOD,RTP,RTN,Wetsludge
华北地区,0.957981221,0.988490566,0.982619048,0.980444444,0.792592593,37718
华北地区,0.957142857,0.984212454,0.997123288,0.961041293,0.741147132,6965
华北地区,0,0,0,0,0,5336.3
华北地区,0,0,0,0,0,4269.04
华北地区,0.975735294,0.989330254,0.993516949,0.984878049,0.846417445,95658
华北地区,0,0,0,0,0,21345.2
华北地区,0,0,0,0,0,8004.45
华北地区,0,0,0,0,0,10672.6
华北地区,0.961237113,0.985734072,0.990958904,0.985513078,0.764498141,174768
华北地区,0.9505,0.992,0.979263158,0.946273292,0.721929825,9961
华北地区,0.972197309,0.985692695,0.987655678,0.940811153,0.720733652,35863
华北地区,0.935474006,0.985085714,0.960764706,0.936798337,0.767296786,11347
华北地区,0.889655172,0.895461538,0.941862745,0.916197183,0.77,13061
华北地区,0.952713178,0.988583878,0.974732143,0.960834299,0.767343173,10922
华北地区,0.978695652,0.988311111,0.98654902,0.988734101,0.877777778,29880
华北地区,0.952058111,0.986795252,0.9906,0.959717314,0.80867679,8752
华北地区,0.950728155,0.987753378,0.978832487,0.949570201,0.734871099,36344
华北地区,0.91554878,0.974285714,0.923191489,0.889885496,0.821716287,12514
华北地区,0.801829268,0.958731343,0.963571429,0.695,0.422222222,1993
华北地区,0.973372781,0.992365854,0.993433476,0.977757009,0.853391304,22909
华北地区,0.892378049,0.954333801,0.935757576,0.846363636,0.899054374,3237
华北地区,0.933230769,0.982430769,0.973189655,0.968893528,0.820045558,3487
华北地区,0.943042071,0.983658537,0.977578125,0.981854839,0.807496013,5533
华北地区,0.932807571,0.989300518,0.963089005,0.922401171,0.73803132,8449
华北地区,0.85,0.944657895,0.951698113,0.92027027,0.705982906,5233
华北地区,0.911242604,0.9865625,0.952264151,0.872307692,0.603728814,8330
华北地区,0.935606061,0.948125,0.946557377,0.83442623,0.717857143,80
华北地区,0.944074074,0.983311688,0.944166667,0.881704782,0.711528822,1881
华北地区,0.658695652,0.976071429,0.830666667,0.877380952,0.36171875,7076
华北地区,0.868639053,0.988879552,0.973522727,0.960585586,0.743950617,3287
华北地区,0.843801653,0.988411552,0.966190476,0.920819113,0.669551282,1072
华北地区,0.884736842,0.989579208,0.978181818,0.959764706,0.752690583,7479
华北地区,0.811290323,0.98307947,0.855087719,0.716666667,0.780444444,0
华北地区,0.93,0.984562648,0.970084034,0.972327044,0.774413646,7111
华北地区,0.933841463,0.984865772,0.980714286,0.962362205,0.78997555,3172
华北地区,0.939711191,0.9893,0.972424242,0.972188139,0.837014315,2139
华北地区,0.958495822,0.987645503,0.985597484,0.983225806,0.896204934,45065
华北地区,0.977858439,0.989842932,0.99532567,0.9875,0.824257426,49508
华北地区,0.945670628,0.962258772,0.956996587,0.892923899,0.771815718,41740
华北地区,0,0,0,0,0,434.35
华北地区,0.877922078,0.975851528,0.915090909,0.86443299,0.61459854,248
