,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
0,5036.414310510099,8009.6971398221385,7699.530450215344,2435.261172562074,3460.3973348908557,7345.567802449804,3755.426551807192,4129.772270916141,5492.6352861803025,19843.75586814024,11855.893991624442,5224.353005583133,4111.472027222155,2642.2472817799244,17017.11994423971,6798.930263363657,6785.949844607041,3706.0242691438843,14251.960393483347,2321.729267423718,1273.4211010820454,2473.916977658039,5439.072795857277,1401.5388653407279,1787.7483431710782,178.4624115482442,2194.8319448314073,1399.0338121612747,322.68354515999494,743.5457175355015,1996.6679156789942
1,5622.707031371593,8827.543764941121,8439.373863697134,2727.841953665832,3890.321631883356,8108.446313586849,4162.631827076246,4564.575944034938,6171.462977925898,22316.508361219985,13311.381663395974,5951.216366029159,4619.389039288637,3012.575158411475,19053.121197994613,7607.100811626645,7630.683370759576,4189.976187132772,16190.624781941915,2645.499759579973,1425.5512221790418,2833.7173580124136,6193.460646571052,1594.8204218435192,2050.4157834783114,202.4419541891728,2479.1243825520405,1581.74664406183,369.67082106869407,816.7148012377481,2237.4874618162326
2,6255.811663287193,9687.478072957128,9208.626903198456,3045.988556703334,4361.397021636139,8913.198898771276,4595.863298711346,5024.468057963678,6914.361783175941,25027.813909030036,14901.801444823284,6770.082685894616,5175.191717293039,3430.577760894952,21264.97052274848,8483.80230262613,8556.688949299476,4726.560469767261,18362.067504456525,3010.471254654144,1590.7657244483498,3243.8626458695744,7042.650337428478,1812.0700397784185,2350.6709352575067,229.21766403504034,2793.7142990225693,1784.335802465128,423.2504425599782,893.1210806990184,2499.578011937306
3,6934.627464923747,10583.803997189108,10001.141636491051,3389.677216734838,4874.53858506121,9754.875467138296,5053.062473300027,5506.809224201851,7722.526137832197,27983.459775555064,16629.050029731763,7689.9605140940685,5779.758933287102,3901.1576568563546,23651.989420398884,9428.45429802924,9565.881247536894,5318.71013403742,20785.5826965895,3420.741744861312,1769.0003284911536,3710.786345864897,7995.727561670479,2055.4932977453286,2693.5783868235108,258.9984697143712,3140.125798895339,2007.9103551927815,484.2702819711177,972.1905440883144,2782.9776150347147
4,7656.934752859683,11509.597512274602,10809.928444657737,3758.3423310404023,5429.937709046683,10627.3119983864,5531.44547990668,6008.2391164728615,8595.984009737793,31185.12354692473,18492.465337985956,8719.99344394963,6433.095424628761,4429.367636351878,26209.703229542436,10438.956249616393,10658.764643308665,5968.797769877198,23479.692864864464,3880.4912574065347,1959.906479705043,4241.55789221411,9061.851453636502,2327.284461487405,3084.787651633697,291.97738333790323,3519.521793482692,2253.368071877858,553.6637334555325,1053.2550568213505,3087.2815374226625
5,8419.320321894094,12456.88210235225,11627.3862668078,4150.811437445733,6026.926757470895,11523.267697966028,6027.534423814041,6524.741425146095,9533.392356155562,34629.576582538626,20488.413827649267,9869.228832324772,7134.179308816997,5020.305810177607,28929.41372460677,11511.533579821238,11834.16324863638,6678.43987753512,26461.39808799679,4393.882158869796,2162.8200889865134,4843.887962711514,10250.00490476328,2629.5585230509837,3530.57028685611,328.32179407719025,3932.5914545117407,2521.321536283996,632.4510607388995,1135.5727351402245,3411.586007020424
6,9217.159977657078,13416.880861440786,12445.580603464115,4565.26293070404,6663.863628693794,12434.638344681936,6537.233290906941,7051.754008993105,10531.867800539363,38307.99373386997,22609.963203747902,11146.324020558575,7880.836174111328,5678.977912823062,31797.936365739097,12640.652832161517,13088.988204385849,7448.293319995168,29745.293572665352,4964.931287657182,2376.7427420191652,5526.113047253098,11568.681274095896,2964.267687918029,4037.8491088518763,368.1624709684582,4379.436154787855,2812.021255005853,721.7381641843285,1218.3539526127233,3754.449928189192
7,10044.669520505064,14380.33035592151,13256.548389044223,4999.214483128848,7338.049908797755,13352.734961356322,7055.947419390455,7584.319566920184,11586.873910912605,42205.448561647056,24846.685357471124,12559.188112624679,8669.65572576584,6410.124266132737,34797.55582587759,13819.025968719237,14418.069272024222,8277.856996225391,33342.57531517695,5597.352615233529,2600.339333602459,6297.152453435668,13025.506840019107,3333.10278694524,4614.215299160506,411.5816684479379,4859.4621498689285,3125.2807052107664,822.7118830697934,1300.791145955465,4113.8813108189215
8,10895.030042895634,15337.83343564802,14052.605192765062,5449.548491214429,8045.696158638362,14268.608750946101,7578.740593199555,8117.267198772297,12692.185599492774,46300.67352412686,27184.63093528414,14114.56239759611,9495.96628694909,7218.010945572894,37906.24081711373,15037.718204273253,15814.077685718697,9165.295347960871,37259.97138720516,6294.37125556512,2831.955111378743,7166.429961766326,14626.803913942493,3737.3816587790375,5267.928157574838,458.6009511619621,5371.290022280427,3460.409590408489,936.6308123298465,1382.0900783647708,4487.353936430384
9,11760.586048057774,16280.22293104802,14826.62988636292,5912.577955338812,8781.945757358686,15173.397096918054,8100.5191125980355,8645.411185122353,13839.947190214883,50566.15379135919,29606.506796843736,15817.549346266853,10353.879443789634,8106.187755950972,41098.13801070459,16286.36481458968,17267.56337133813,10107.302763380856,41498.65647342411,7058.512588813102,3069.6535032301485,8143.751630174312,16377.10690654925,4177.928525588396,6007.891151599681,509.169582580204,5912.691890043084,3816.162502272912,1064.8105042440882,1461.5000184149549,4871.85749743363
