,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
18,18732.386960045857,22828.133832815656,19935.63732253592,9820.23104214608,15423.106340752744,21522.898849080575,11939.931558273882,12407.03855125439,24096.813907797998,89184.2905545813,50823.62406546954,36771.853217413045,17970.47830354373,19340.883568820038,67863.19551991794,26633.997850955802,30364.357150615662,19548.681710623474,89076.15829221619,16496.325315223767,5049.655056271082,22943.75640290763,37549.83779668279,9386.059718674398,17958.85252806702,1065.6486587498146,11234.470058966352,7384.920536059433,3007.2073260677835,1993.3732833355255,8143.966016532841
19,19279.556904313744,23274.749328577363,20268.469464055383,10140.902682616275,16004.08533090292,21961.120340375062,12216.410038516124,12670.13687936224,24985.429200843333,92575.57021849956,52629.94202703513,39286.51898537305,18627.011020547416,20729.08478274477,70045.36246624426,27468.60172523698,31509.836062404185,20466.669613983275,94266.19469720156,17634.124004164907,5210.434365122793,25165.300759805876,40047.60394528704,9986.29746120441,19887.03485321088,1125.2631874846772,11741.945650277545,7732.910476468654,3298.373071388801,2028.5087508697027,8414.717883660407
20,19776.76735191124,23673.388181457944,20563.96975949863,10434.162299832129,16540.36264963698,22352.845578646404,12464.838867764141,12905.688978560416,25804.468820969585,95707.98484761431,54290.713780723505,41743.54591921428,19231.754897511273,22094.002046834452,72039.14621715437,28229.99793421779,32567.287477495393,21328.735416700976,99243.16874305744,18747.051893609572,5357.247872416421,27453.213641496033,42479.70151843973,10567.98250916634,21911.94763845587,1182.1850859510755,12216.931342839196,8059.7999638072715,3598.2357013014794,2059.7572360166973,8662.59671009928
21,20225.72261987082,24027.598166933483,20825.296581628754,10700.501825205827,17031.57492141271,22701.371419488212,12686.89853557186,13115.557967949126,26553.670045886018,98578.91556357159,55806.42723421639,44118.42900773807,19784.61040279151,23421.379699187873,73848.38331891998,28919.964002910583,33535.96888653081,22131.062266827867,103967.75627201535,19823.90947216212,5490.401190141639,29783.847116782865,44822.62196491559,11125.770726512408,24016.723601335296,1235.9995999968571,12657.63731669348,8364.12255056087,3903.6957060305717,2087.4343457516184,8887.946485705741
22,20628.78971335884,24341.068062454557,21055.600051361936,10940.874953660717,17478.341026845024,23010.171820113315,12884.461307232563,13301.73721436289,27234.243007570025,101191.52510618512,57180.45331299757,46390.037307644365,20286.556267684926,24698.545614872237,75479.98660085669,29541.41078931805,34417.076974740434,22871.58484841299,108409.85138793572,20854.986292799953,5610.423427450351,32131.696739526553,47056.45721871411,11655.257289038556,26181.294620406155,1286.4014279976795,13063.232981594343,8645.076132610102,4211.410326414064,2111.8588304625237,9091.510451843464
23,20988.801538029926,24617.498091580517,21257.942189735226,11156.584242609648,17882.07866371556,23282.76573506498,13059.499166620315,13466.26815588253,27848.583402899287,103553.69928654273,58418.44164485337,48541.233617811304,20739.435213782563,25914.841477169728,76943.17245745311,30098.084723890584,35213.38657583764,23549.81866771757,112548.75888295115,21832.35429360234,5718.010076797772,34470.49539839355,49165.42278414266,12153.070815726693,28383.071453179688,1333.194024413795,13433.737354168043,8902.459220429764,4517.936924581503,2133.343526176044,9274.336533447298
24,21308.882257193618,24860.5008990979,21435.23980201864,11349.175664128723,18244.817775930078,23522.61462709526,13214.009010680542,13611.175595746721,28399.984589884934,105676.96295275692,59527.729096522344,50559.18749789025,21145.740552052917,27061.89003062227,78248.74463548757,30594.295207414034,35928.883074863574,24166.634020690784,116372.81574314894,22750.022896715807,5813.970329191758,36774.37797269631,51138.074719522825,12616.894728624153,30597.842362232564,1376.2827986810894,13769.883994083422,9136.585926595462,4819.885627474254,2152.1887153269845,9437.688197050431
25,21592.299716659418,25073.52987751093,21590.22659552534,11520.34541479472,18569.02395582749,23733.046962224358,13349.95464015775,13738.419216141921,28892.36816368624,107575.4485352448,60516.79650332844,52435.39468884337,21508.417446004583,28133.695208627458,79408.46538792537,31034.67779984164,36568.414181842694,24724.002250063233,119878.56619450971,23603.960237661293,5899.181006006436,39019.00853860884,52967.24395481696,13045.424654087215,32800.81923803604,1415.6637982892526,14072.975439503314,9348.19014810232,5114.067054792169,2168.6775712131007,9582.965056600875
26,21842.34637130279,25259.83083002991,21725.43091728246,11671.86146904383,18857.44061049563,23917.206049436205,13469.224046090327,13849.859336089554,29330.045456555996,109264.9701762685,61394.79537834927,54165.44549520245,21830.68770871534,29126.58991413897,80434.52927381166,31423.998017240046,37137.37849695657,25224.73792651897,123069.63520979958,24391.99863944643,5974.548156828541,41182.567755509925,54649.7375647903,13438.275827379837,34967.73732424331,1451.4095857222176,14344.739415867958,9538.327947264042,5397.621715463478,2183.073322092205,9711.635566740048
27,22062.247638164306,25422.41272813004,21843.165698600296,11805.500520255311,19112.954738137105,24078.01721638387,13573.59992321299,13947.234620889756,29717.51646678218,110762.23328809964,62171.154733551644,55748.60303189739,22115.90265051364,30039.059885618568,81339.1426751584,31766.996100971664,37641.46050318878,25672.254997218133,125955.443157086,25113.65126172008,6040.976489020009,43246.51952988079,56185.871185504555,13795.856747517662,37075.90624516201,1483.6539020417906,14587.195785656659,9708.285031312611,5668.120471259653,2195.6177800782925,9825.18254310507
